Threshold,Group,Proteins_Kept,Percent_Kept
0.1,Set1_Old,2022,72.21428571428572
0.1,Set2_Fresh,1859,66.39285714285714
0.1,Set1_Sarcoidosis,2017,72.03571428571428
0.1,Set1_Control,1993,71.17857142857143
0.1,Set2_Sarcoidosis,1847,65.96428571428572
0.1,Set2_Control,1818,64.92857142857143
0.2,Set1_Old,1920,68.57142857142857
0.2,Set2_Fresh,1732,61.857142857142854
0.2,Set1_Sarcoidosis,1927,68.82142857142857
0.2,Set1_Control,1884,67.28571428571428
0.2,Set2_Sarcoidosis,1739,62.10714285714286
0.2,Set2_Control,1722,61.5
0.3,Set1_Old,1812,64.71428571428571
0.3,Set2_Fresh,1646,58.785714285714285
0.3,Set1_Sarcoidosis,1828,65.28571428571428
0.3,Set1_Control,1797,64.17857142857143
0.3,Set2_Sarcoidosis,1642,58.64285714285714
0.3,Set2_Control,1644,58.71428571428572
0.4,Set1_Old,1724,61.57142857142858
0.4,Set2_Fresh,1571,56.107142857142854
0.4,Set1_Sarcoidosis,1742,62.21428571428571
0.4,Set1_Control,1711,61.10714285714286
0.4,Set2_Sarcoidosis,1579,56.392857142857146
0.4,Set2_Control,1569,56.03571428571429
0.5,Set1_Old,1642,58.64285714285714
0.5,Set2_Fresh,1508,53.85714285714286
0.5,Set1_Sarcoidosis,1664,59.42857142857143
0.5,Set1_Control,1645,58.75
0.5,Set2_Sarcoidosis,1520,54.285714285714285
0.5,Set2_Control,1501,53.607142857142854
0.6,Set1_Old,1571,56.107142857142854
0.6,Set2_Fresh,1449,51.74999999999999
0.6,Set1_Sarcoidosis,1591,56.82142857142857
0.6,Set1_Control,1584,56.57142857142857
0.6,Set2_Sarcoidosis,1473,52.607142857142854
0.6,Set2_Control,1463,52.25
0.7,Set1_Old,1531,54.67857142857143
0.7,Set2_Fresh,1404,50.142857142857146
0.7,Set1_Sarcoidosis,1540,55.00000000000001
0.7,Set1_Control,1530,54.64285714285714
0.7,Set2_Sarcoidosis,1425,50.89285714285714
0.7,Set2_Control,1412,50.42857142857143
