Sample,PC1,PC2,PC3,Mahalanobis_Distance,PCA_Outlier
"Abundances (Normalized): F2: Sample, Control, 302-2",21.35822204594399,16.262075642305682,5.519706410376348,1.7054562843469177,False
"Abundances (Normalized): F4: Sample, Control, 310-2",1.9738346943715772,10.55296378872086,6.940253314329911,0.9956124214978301,False
"Abundances (Normalized): F6: Sample, Control, 311-2",25.47824375316588,2.365871672630769,3.7466308698206348,1.4336175173849268,False
"Abundances (Normalized): F8: Sample, Control, 327-2",5.429307098157253,5.046630307538011,-6.470183379214938,0.7666752173676705,False
"Abundances (Normalized): F10: Sample, Control, 338-2",29.3345794704929,5.260362873040711,0.8707670533118033,1.6320034832883223,False
"Abundances (Normalized): F12: Sample, Control, 343-2",19.735322698732393,-4.083783780076003,-4.443146763487979,1.1833486314484842,False
"Abundances (Normalized): F14: Sample, Control, 346-2",6.083532337329181,3.999496375882281,3.7389643335022713,0.5591445014593786,False
"Abundances (Normalized): F16: Sample, Control, 364-2",27.233137893393316,0.24688970115529696,-9.051444891699582,1.7057200671849322,False
"Abundances (Normalized): F18: Sample, Control, 368-2",19.55664349383544,0.7059971066651631,2.6861842778142297,1.0898135021179454,False
"Abundances (Normalized): F20: Sample, Control, 371-2",27.663172090190955,13.59720654457629,5.216311593505299,1.8422913514236983,False
"Abundances (Normalized): F22: Sample, Control, 375-2",5.823129855860777,0.7685730073514428,-0.8262530186922261,0.329195239359167,False
"Abundances (Normalized): F24: Sample, Control, 432-2",14.905902307622581,-1.2887084451444621,-2.639441794784372,0.8495026536328828,False
"Abundances (Normalized): F26: Sample, Control, 435-2",3.3865369967638226,1.6894334636724848,1.099664593009642,0.24182884872872734,False
"Abundances (Normalized): F28: Sample, Control, 436-2",22.93849032279272,3.296134783629748,1.7324657280259426,1.2734518134469008,False
"Abundances (Normalized): F30: Sample, Control, 443-2",-2.461676251209454,0.9825852552894587,2.0484814460403866,0.2454001875173077,False
"Abundances (Normalized): F32: Sample, Control, 465-2",10.112103654790111,14.885719215158298,-5.33959841591911,1.2820946040034535,False
"Abundances (Normalized): F34: Sample, Control, 467-2",23.20847767353889,-16.009162194521842,-9.464283009858342,1.9082706912021834,False
"Abundances (Normalized): F36: Sample, Control, 481-2",39.56285642718572,21.351484481940446,-1.0980060323323533,2.6142129971952475,False
"Abundances (Normalized): F38: Sample, Control, 485-2",-1.100711643654341,10.222785301181682,0.7810350418115961,0.7225681622244088,False
"Abundances (Normalized): F40: Sample, Control, 486-2",13.078999102546732,2.318508944039704,2.4708979472155725,0.7631398125354878,False
"Abundances (Normalized): F42: Sample, Control, 500-2",22.328763702932374,-1.846656680722187,-8.000252780007052,1.4327315357549635,False
"Abundances (Normalized): F44: Sample, Control, 510-2",9.788450937169937,-3.129995091955817,1.6912024955730107,0.5953883395711005,False
"Abundances (Normalized): F46: Sample, Control, 533-2",12.109174133373838,12.125515650074927,13.367436001326219,1.6607247695749778,False
"Abundances (Normalized): F48: Sample, Control, 537-2",20.430151715933647,4.095246847030424,1.0217282087960116,1.1464781802186872,False
"Abundances (Normalized): F50: Sample, Control, 545-2",-16.1182839837475,8.113758464262535,9.603633861292733,1.3832983619546868,False
"Abundances (Normalized): F52: Sample, Control, 561-2",2.560437471885529,1.0390554723653085,20.999672057120062,1.9973788173680576,False
"Abundances (Normalized): F54: Sample, Control, 567-2",27.982214555612273,13.420312961776636,3.0229733603117466,1.8055729354246324,False
"Abundances (Normalized): F56: Sample, Control, 577-2",-1.774015967413869,26.605813725316413,6.69249325186862,1.9716058081141765,False
"Abundances (Normalized): F58: Sample, Control, 584-2",21.8991484871886,-0.9596846861282888,-3.609202791584876,1.2355101071243304,False
"Abundances (Normalized): F60: Sample, Control, 613-2",12.407827093670656,6.716066077181705,16.941367084960135,1.803610625632473,False
"Abundances (Normalized): F123: Sample, Control, C1",-29.576717535823576,3.6556551358848184,1.6341516611297577,1.6285488873712988,False
"Abundances (Normalized): F124: Sample, Control, C2",-14.325557746740026,-12.186515874569448,0.5023458061508366,1.1543634118908572,False
"Abundances (Normalized): F125: Sample, Control, C3",-4.80825908131588,-21.56981938519005,2.718996815198336,1.5551156824851957,False
"Abundances (Normalized): F126: Sample, Control, C4",-10.00071708633967,-14.945363632133475,9.048288268867458,1.4579829201819303,False
"Abundances (Normalized): F127: Sample, Control, C5",-4.448278479700498,-18.123954448056917,9.873873331445827,1.5960007164106758,False
"Abundances (Normalized): F128: Sample, Control, C6",-23.5520782403191,-13.716124789077018,15.8968456708908,2.1956161383525794,False
"Abundances (Normalized): F129: Sample, Control, C7",-26.514575880889367,-6.234968752848068,1.6875538559777112,1.50859804946696,False
"Abundances (Normalized): F130: Sample, Control, C8",-1.117940797193769,-15.068253400026588,8.026768340627816,1.3029487847209853,False
"Abundances (Normalized): F131: Sample, Control, C9",-13.47718069776284,-13.858190478376622,7.4393016836906165,1.4044739571800453,False
"Abundances (Normalized): F132: Sample, Control, C10",-13.149672298466676,-11.37866159557613,11.10049895017571,1.5000309548524144,False
"Abundances (Normalized): F133: Sample, Control, C11",15.583564832356254,-28.91860547454192,0.8148578853958247,2.1961596849819154,False
"Abundances (Normalized): F134: Sample, Control, C12",2.25078334761115,-24.27178010300581,12.313431867946155,2.0664923660814507,False
"Abundances (Normalized): F135: Sample, Control, C13",-14.886694957351716,-6.4291052011480225,14.033723044799315,1.6195363869983967,False
"Abundances (Normalized): F136: Sample, Control, C14",-31.24204047674629,-9.695205189369325,15.082296142342882,2.316466089316469,False
"Abundances (Normalized): F137: Sample, Control, C15",-18.838790130564746,-10.991097952973753,8.552440633463588,1.513399522256616,False
"Abundances (Normalized): F138: Sample, Control, C16",-4.090064580339874,-27.611422506545132,11.695818771910778,2.240961247477093,False
"Abundances (Normalized): F139: Sample, Control, C17",-21.2356885401182,-13.824198780130983,16.754134820458585,2.1870324437837403,False
"Abundances (Normalized): F140: Sample, Control, C18",-19.759845352914493,-17.998197264043366,19.55966828487213,2.4847566351259105,False
"Abundances (Normalized): F141: Sample, Control, C19",4.344979137021857,-11.803166596697801,-11.117399613806993,1.3603524441591708,False
"Abundances (Normalized): F142: Sample, Control, C20",-16.40898739986901,-9.712932830620854,7.117495385979844,1.3066746378785017,False
"Abundances (Normalized): F143: Sample, Control, C21",-28.766981097186758,-3.9172210759543145,6.429166816771737,1.6944438091442207,False
"Abundances (Normalized): F144: Sample, Control, C22",-0.7993385217835354,-10.556401184822398,-9.288816200498792,1.150982435723109,False
"Abundances (Normalized): F145: Sample, Control, C23",-12.84931724672929,-7.839961667036683,3.0054626099050505,0.9309303687358927,False
"Abundances (Normalized): F146: Sample, Control, C24",-19.223216163375138,-2.7262629815287047,-0.7504775257812372,1.0602103331099342,False
"Abundances (Normalized): F147: Sample, Control, C25",-11.635913250444187,-11.795611465024482,-2.1341595100068145,1.058614072556322,False
"Abundances (Normalized): F148: Sample, Control, C26",-3.1520728359782684,-7.423816711913563,-14.101914788614376,1.4448941919109317,False
"Abundances (Normalized): F149: Sample, Control, C27",10.898858872276557,-16.079579152632483,-12.075702421008883,1.7112748040592076,False
"Abundances (Normalized): F150: Sample, Control, C28",-6.290970938459954,-6.680380278108839,-10.98055709777434,1.1912729698661635,False
"Abundances (Normalized): F151: Sample, Control, C29",-5.517992320545135,-7.567820961759761,-11.622148755503389,1.2589116030002037,False
"Abundances (Normalized): F152: Sample, Control, C30",9.089678799362922,-18.915147779853168,-12.913782720628772,1.870295208045369,False
"Abundances (Normalized): F1: Sample, Sarcoidosis, 302-1",-48.63676812787542,67.34101132799746,-18.37129376711817,5.676955827061835,True
"Abundances (Normalized): F3: Sample, Sarcoidosis, 310-1",3.918189178785096,11.063139098310947,11.15219891474542,1.3282012420192342,False
"Abundances (Normalized): F5: Sample, Sarcoidosis, 311-1",28.48144836165627,3.051229952581395,-0.5095948127269972,1.5570220009863338,False
"Abundances (Normalized): F7: Sample, Sarcoidosis, 327-1",24.913171672078434,-6.440096679334645,-12.820887995438815,1.8707520860781885,False
"Abundances (Normalized): F9: Sample, Sarcoidosis, 338-1",25.70835848416246,8.236556294565961,6.7107885871008985,1.6352537559952778,False
"Abundances (Normalized): F11: Sample, Sarcoidosis, 343-1",6.334797548372609,35.893878645109154,12.50964931912863,2.8017646025904246,False
"Abundances (Normalized): F13: Sample, Sarcoidosis, 346-1",21.288448706046246,3.567625446847458,-1.0925243356453198,1.1835538789095286,False
"Abundances (Normalized): F15: Sample, Sarcoidosis, 364-1",3.924055243237906,25.405841419905563,11.313594690498668,2.0892212135940187,False
"Abundances (Normalized): F17: Sample, Sarcoidosis, 368-1",16.65485587208545,-2.4375962571367435,-11.580855667767361,1.4309444517068222,False
"Abundances (Normalized): F19: Sample, Sarcoidosis, 371-1",0.6883312914769033,16.60921340851507,-0.18132424054566468,1.1644966575506024,False
"Abundances (Normalized): F21: Sample, Sarcoidosis, 375-1",-4.7896064980232245,26.28503263028362,-6.5377510790226125,1.9604862912160281,False
"Abundances (Normalized): F23: Sample, Sarcoidosis, 432-1",6.785076001784543,7.75409094774263,0.8434562896472143,0.6606402121943641,False
"Abundances (Normalized): F25: Sample, Sarcoidosis, 435-1",12.336707021906799,21.823432666246532,9.84277544507264,1.9118378562415277,False
"Abundances (Normalized): F27: Sample, Sarcoidosis, 436-1",10.695163998847326,9.253367916837076,4.186550382611502,0.9555350471707548,False
"Abundances (Normalized): F29: Sample, Sarcoidosis, 443-1",14.677819425630933,0.2965999313851999,-4.779242450364642,0.9148217056754233,False
"Abundances (Normalized): F31: Sample, Sarcoidosis, 465-1",12.312755233859205,-1.8674256756921965,2.8471460641880806,0.7308272116658471,False
"Abundances (Normalized): F33: Sample, Sarcoidosis, 467-1",4.01284525759495,12.544702223554285,-0.5924492938607928,0.907158081260505,False
"Abundances (Normalized): F35: Sample, Sarcoidosis, 481-1",21.23800884426756,7.092247860251067,-15.228679787838969,1.9113946737810792,False
"Abundances (Normalized): F37: Sample, Sarcoidosis, 485-1",29.943140208119125,-1.9835321239803634,-14.28906972258504,2.1169708359158115,False
"Abundances (Normalized): F39: Sample, Sarcoidosis, 486-1",23.7662521099469,13.867467710693724,1.512644876379244,1.61842805553298,False
"Abundances (Normalized): F41: Sample, Sarcoidosis, 500-1",21.676971637148238,11.05986182941357,5.223742544416026,1.490759226378584,False
"Abundances (Normalized): F43: Sample, Sarcoidosis, 510-1",20.687941025285383,5.595540792874822,-6.050740119277903,1.3178159937762246,False
"Abundances (Normalized): F45: Sample, Sarcoidosis, 533-1",-6.552305749348059,24.477996043041866,7.550052693017339,1.8920737963408327,False
"Abundances (Normalized): F47: Sample, Sarcoidosis, 537-1",12.559860619997986,-6.713290267884013,-6.215635045328924,1.0152532144100606,False
"Abundances (Normalized): F49: Sample, Sarcoidosis, 545-1",1.2127669036041195,20.978832782961955,24.695488195367258,2.76559416597592,False
"Abundances (Normalized): F51: Sample, Sarcoidosis, 561-1",-15.500394747452242,19.89563559895427,19.386922772723985,2.4549064877132647,False
"Abundances (Normalized): F53: Sample, Sarcoidosis, 567-1",1.067614764454201,12.775042010110301,14.638295426209266,1.6526411445450984,False
"Abundances (Normalized): F55: Sample, Sarcoidosis, 577-1",18.71910763412078,-10.401269425816555,0.6563486805294647,1.2495912812606522,False
"Abundances (Normalized): F57: Sample, Sarcoidosis, 584-1",11.199349494304004,2.321837251526167,9.334856311433553,1.0850697237527414,False
"Abundances (Normalized): F59: Sample, Sarcoidosis, 613-1",14.07564819249657,17.899235120904983,15.354889176184816,2.067169701531829,False
"Abundances (Normalized): F93: Sample, Sarcoidosis, Sarc1",12.537162284549824,-15.063731134750528,-17.866213803306138,2.108200001825372,False
"Abundances (Normalized): F94: Sample, Sarcoidosis, sarc2",-6.1089137223113354,-3.909749185809101,-13.560137668120666,1.3556012709957288,False
"Abundances (Normalized): F95: Sample, Sarcoidosis, sarc3",14.26538999790317,-23.167137908852855,-8.146841940318561,1.9565032989718452,False
"Abundances (Normalized): F96: Sample, Sarcoidosis, sarc4",-22.527581484495926,2.8595899926087878,-13.771841881096886,1.7978001264796901,False
"Abundances (Normalized): F97: Sample, Sarcoidosis, sarc5",-23.17117522630449,4.389004142362348,-3.3735048158184013,1.3302937838523707,False
"Abundances (Normalized): F98: Sample, Sarcoidosis, sarc6",19.045108655864098,-13.26737137820538,-17.300153699880475,2.148895862967329,False
"Abundances (Normalized): F99: Sample, Sarcoidosis, sarc7",1.180182975041091,-15.124866358762253,-2.846750842517995,1.0954698475044486,False
"Abundances (Normalized): F100: Sample, Sarcoidosis, sarc8",-29.46199544501832,-0.8266124507830315,2.3482984059487624,1.6111012158828106,False
"Abundances (Normalized): F101: Sample, Sarcoidosis, sarc9",-46.709334892582625,33.62852692089659,-38.91292111817346,5.055483871704054,True
"Abundances (Normalized): F102: Sample, Sarcoidosis, sarc10",-19.7931851235964,6.49939329600363,-18.406461507025245,2.0979131531599498,False
"Abundances (Normalized): F103: Sample, Sarcoidosis, sarc11",-16.242024970759612,-2.17512217630499,-4.378132301894583,0.9840462692759507,False
"Abundances (Normalized): F104: Sample, Sarcoidosis, sarc12",-27.867308308499318,-4.342410473599374,4.482693155679312,1.5962935104218694,False
"Abundances (Normalized): F105: Sample, Sarcoidosis, sarc13",-24.90994499508545,1.6676067109393486,-11.314927467005623,1.7269810839889326,False
"Abundances (Normalized): F106: Sample, Sarcoidosis, sarc14",-22.59296011861875,-2.311896653889298,1.5774822403460078,1.2425305834775844,False
"Abundances (Normalized): F107: Sample, Sarcoidosis, sarc15",-22.549660484758046,-0.7007585651583281,-18.239784553198014,2.1173683531441125,False
"Abundances (Normalized): F108: Sample, Sarcoidosis, sarc16",-15.328289949912316,-10.555157563435499,5.042524860981884,1.209904468550632,False
"Abundances (Normalized): F109: Sample, Sarcoidosis, sarc17",-33.76350497343998,-4.355823306539686,5.973246787147497,1.9373558413772367,False
"Abundances (Normalized): F110: Sample, Sarcoidosis, sarc18",-32.92436013415048,3.805120061235339,6.593925710706937,1.9072197520782874,False
"Abundances (Normalized): F111: Sample, Sarcoidosis, sarc19",-2.229432047648816,-5.660792173705005,-19.121190780194127,1.8599095368648895,False
"Abundances (Normalized): F112: Sample, Sarcoidosis, sarc20",-37.39140030368841,15.086229784420603,-12.598338649881402,2.5768272076765943,False
