Detection_Rate,N_Detected,Mean_Abundance,Median_Abundance,SD_Abundance,CV_Percent,Min_Abundance,Max_Abundance,Gene,Accession,Description
100.0,120,5156542872.0618,5208325510.4136,1002455179.2769536,19.440450785511075,2286446186.68788,7639846928.2097,APOB,A0AAG2UUW0,Apolipoprotein B OS=Homo sapiens OX=9606 GN=APOB PE=1 SV=1
100.0,120,3271435234.619318,3209302798.617915,414549228.224746,12.671784660073982,2268739606.67136,4473818810.44653,F5,P12259,Coagulation factor V OS=Homo sapiens OX=9606 GN=F5 PE=1 SV=4
100.0,120,1547407228.9648616,1551822415.584115,362406793.6310443,23.420259828660388,483920026.97024,2625198186.04282,TLN1,Q9Y490,Talin-1 OS=Homo sapiens OX=9606 GN=TLN1 PE=1 SV=3
100.0,120,2948772000.80898,2893427531.97725,532477034.7588312,18.05758582259832,1929165702.16064,4262656164.80316,FGA,P02671,Fibrinogen alpha chain OS=Homo sapiens OX=9606 GN=FGA PE=1 SV=2
100.0,120,3296216698.197502,3218234248.9333754,674103404.2525951,20.45082183526407,1841408971.65433,5596521866.27643,C3,P01024,Complement C3 OS=Homo sapiens OX=9606 GN=C3 PE=1 SV=2
100.0,120,357497786.6329165,287367128.4216615,272264288.76344734,76.15831452489856,166363487.954267,2664621784.20191,FGB,P02675,Fibrinogen beta chain OS=Homo sapiens OX=9606 GN=FGB PE=1 SV=2
100.0,120,6533958997.685506,6499424546.246495,851436913.1140192,13.030949741429657,4547247483.82234,8560727626.4098,APOE,P02649,Apolipoprotein E OS=Homo sapiens OX=9606 GN=APOE PE=1 SV=1
100.0,120,2590785886.626571,2603166733.288845,289441527.0098769,11.171958613174128,1782903645.79954,3508192729.8197,ALB,P02768,Albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=2
100.0,120,1756301242.2528942,1685640387.68488,337307844.039422,19.205580223056756,1143319447.07277,3375109338.89794,KRT1,P04264,"Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6"
100.0,120,2123493238.3788502,2072868412.33692,410869834.3824488,19.348770552060778,1278794251.29803,4653566876.52428,FGG,P02679,Fibrinogen gamma chain OS=Homo sapiens OX=9606 GN=FGG PE=1 SV=3
100.0,120,6333125465.418783,6332313048.40781,1027045318.3353074,16.217037289776687,3675931962.99801,8891180343.94337,KNG1,P01042,Kininogen-1 OS=Homo sapiens OX=9606 GN=KNG1 PE=1 SV=2
100.0,120,1839903879.5969458,1839472552.471205,456927769.82148427,24.834328297714123,367674126.575362,2784959756.82381,KRT2,P35908,"Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2"
100.0,120,2127620589.4691858,2088949614.3188648,492771894.9596922,23.160703435504566,1085562792.58845,3255748110.46726,FLNA,P21333,Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4
