Gene,Accession,Missing_Set1_pct,Missing_Set2_pct,Difference_pct
ENO2,P09104,0.0,100.0,-100.0
CFAP100,Q494V2,0.0,100.0,-100.0
CENPF,P49454,0.0,98.33333333333333,-98.33333333333333
CIRBP,K7EQR7,5.0,100.0,-95.0
TSNAXIP1,B4DXD0,5.0,100.0,-95.0
TRIM4,Q9C037,0.0,95.0,-95.0
SHOC2,Q9UQ13,3.3333333333333335,96.66666666666667,-93.33333333333334
CREM,Q03060,1.6666666666666667,95.0,-93.33333333333333
SAT2,I3L0W4,6.666666666666667,100.0,-93.33333333333333
BAIAP2L1,Q9UHR4,3.3333333333333335,95.0,-91.66666666666667
PLEKHG1,Q9ULL1,8.333333333333332,100.0,-91.66666666666667
SPIRE1,Q08AE8,1.6666666666666667,91.66666666666666,-89.99999999999999
BNIP2,H7C096,10.0,98.33333333333333,-88.33333333333333
HACE1,H0YC01,11.666666666666666,100.0,-88.33333333333333
DDX53,Q86TM3,10.0,98.33333333333333,-88.33333333333333
NPEPPS,A0A7I2V3W8,10.0,96.66666666666667,-86.66666666666667
DCUN1D4,H0Y9C5,3.3333333333333335,90.0,-86.66666666666667
GSDMA,Q96QA5,1.6666666666666667,88.33333333333333,-86.66666666666666
CCT8,P50990,8.333333333333332,93.33333333333333,-85.0
EEF1A1,A0A087WVQ9,15.0,100.0,-85.0
TNFAIP8L2,Q6P589,8.333333333333332,93.33333333333333,-85.0
TENM2,Q9NT68,0.0,83.33333333333334,-83.33333333333334
CER1,O95813,10.0,93.33333333333333,-83.33333333333333
BLM,P54132,15.0,98.33333333333333,-83.33333333333333
RIPK2,O43353,15.0,98.33333333333333,-83.33333333333333
ZNF410,J3KNQ6,18.333333333333332,100.0,-81.66666666666667
ARHGEF1,Q92888,0.0,81.66666666666667,-81.66666666666667
EIF3L,B0QY89,8.333333333333332,90.0,-81.66666666666667
ZNF398,Q8TD17,11.666666666666666,93.33333333333333,-81.66666666666666
LSM4,V9GZ56,18.333333333333332,98.33333333333333,-80.0
DYNC2LI1,Q8TCX1,18.333333333333332,98.33333333333333,-80.0
QSOX2,Q6ZRP7,16.666666666666664,95.0,-78.33333333333334
RIC8A,Q9NPQ8,1.6666666666666667,80.0,-78.33333333333333
NCF4,Q15080,0.0,78.33333333333333,-78.33333333333333
S100A4,P26447,6.666666666666667,83.33333333333334,-76.66666666666667
LRRC31,Q6UY01,23.333333333333332,100.0,-76.66666666666667
COG1,Q8WTW3,23.333333333333332,100.0,-76.66666666666667
MBP,P02686,16.666666666666664,93.33333333333333,-76.66666666666666
LGALSL,Q3ZCW2,11.666666666666666,88.33333333333333,-76.66666666666666
SMARCD2,Q92925,0.0,75.0,-75.0
AP3B1,O00203,1.6666666666666667,76.66666666666667,-75.0
KIF1C,O43896,26.666666666666668,100.0,-73.33333333333333
CAST,P20810,1.6666666666666667,75.0,-73.33333333333333
CENPE,Q02224,5.0,76.66666666666667,-71.66666666666667
MAPRE2,K7ERD8,28.333333333333332,100.0,-71.66666666666667
PON3,Q15166,5.0,76.66666666666667,-71.66666666666667
FKBP11,Q9NYL4,25.0,96.66666666666667,-71.66666666666667
WASF3,Q9UPY6,18.333333333333332,90.0,-71.66666666666667
EYA4,F2Z2Y1,20.0,91.66666666666666,-71.66666666666666
HSF2BP,O75031,30.0,100.0,-70.0
POLA1,P09884,10.0,80.0,-70.0
HARS2,A0A2R8Y5P7,31.666666666666664,100.0,-68.33333333333334
RPL29,P47914,10.0,78.33333333333333,-68.33333333333333
CAPNS1,A0A0C4DGQ5,30.0,98.33333333333333,-68.33333333333333
LY6G6F-LY6G6D,A0A0G2JK05,33.33333333333333,100.0,-66.66666666666667
SULT1A1,P50225,26.666666666666668,93.33333333333333,-66.66666666666666
SPRR2F,Q96RM1,0.0,66.66666666666666,-66.66666666666666
CD82,P27701,23.333333333333332,88.33333333333333,-65.0
AIMP2,Q13155,35.0,100.0,-65.0
EFEMP1,Q12805,0.0,65.0,-65.0
PIP,P12273,21.666666666666668,86.66666666666667,-65.0
OSBPL8,F8VZ43,1.6666666666666667,66.66666666666666,-64.99999999999999
ARPC5,O15511,21.666666666666668,85.0,-63.33333333333333
SH3KBP1,Q5JPT2,38.333333333333336,100.0,-61.666666666666664
BAX,Q07812,1.6666666666666667,61.66666666666667,-60.00000000000001
ITGB2,P05107,11.666666666666666,71.66666666666667,-60.00000000000001
LIMD2,Q9BT23,40.0,100.0,-60.0
IGKV2-30,P06310,3.3333333333333335,63.33333333333333,-59.99999999999999
SH3GL1,Q99961,41.66666666666667,100.0,-58.33333333333333
ASTE1,D6RG30,93.33333333333333,35.0,58.33333333333333
METAP1,P53582,26.666666666666668,83.33333333333334,-56.66666666666667
SH3BP1,Q9Y3L3,0.0,56.666666666666664,-56.666666666666664
GSTK1,Q9Y2Q3,43.333333333333336,100.0,-56.666666666666664
H1-4,P10412,43.333333333333336,100.0,-56.666666666666664
PTP4A1,Q93096,43.333333333333336,100.0,-56.666666666666664
HP1BP3,Q5SSJ5,21.666666666666668,78.33333333333333,-56.66666666666666
TREML1,Q86YW5,41.66666666666667,98.33333333333333,-56.66666666666666
RPL23A,P62750,0.0,55.00000000000001,-55.00000000000001
GNAQ,P50148,45.0,100.0,-55.0
LSM14A,Q8ND56,46.666666666666664,100.0,-53.333333333333336
LOC122394732,A0A1B0GW15,46.666666666666664,100.0,-53.333333333333336
RPS20,P60866,46.666666666666664,100.0,-53.333333333333336
ABCC9,A0A804HK56,46.666666666666664,100.0,-53.333333333333336
BTF3,P20290,45.0,98.33333333333333,-53.33333333333333
MOB3C,Q70IA8,45.0,98.33333333333333,-53.33333333333333
GNAZ,P19086,21.666666666666668,75.0,-53.33333333333333
FAM98B,Q52LJ0,20.0,73.33333333333333,-53.33333333333333
KIF5C,O60282,45.0,96.66666666666667,-51.66666666666667
SLC25A51,Q9H1U9,3.3333333333333335,55.00000000000001,-51.66666666666667
HDAC6,Q9UBN7,48.333333333333336,100.0,-51.666666666666664
ARHGAP15,Q53QZ3,43.333333333333336,95.0,-51.666666666666664
TNFSF13,O75888,48.333333333333336,100.0,-51.666666666666664
POLR2B,P30876,1.6666666666666667,51.66666666666667,-50.00000000000001
DAZAP1,Q96EP5,1.6666666666666667,51.66666666666667,-50.00000000000001
ADAM23,E7EWD3,18.333333333333332,68.33333333333333,-50.0
CAPZA2,P47755,50.0,100.0,-50.0
MOB2,Q70IA6,26.666666666666668,76.66666666666667,-50.0
WDR54,Q9H977,10.0,60.0,-50.0
ALOX5,P09917,48.333333333333336,98.33333333333333,-49.99999999999999
PIBF1,Q8WXW3,6.666666666666667,55.00000000000001,-48.33333333333334
EIF4G3,A0A804HJV5,6.666666666666667,55.00000000000001,-48.33333333333334
OSBPL5,Q9H0X9,0.0,48.333333333333336,-48.333333333333336
IGLV4-69,A0A075B6H9,36.666666666666664,85.0,-48.333333333333336
MARS1,P56192,0.0,48.333333333333336,-48.333333333333336
CNBP,P62633,13.333333333333334,61.66666666666667,-48.333333333333336
LUC7L2,A0A0A6YYJ8,45.0,93.33333333333333,-48.33333333333333
GSTM1,E7EWW9,51.66666666666667,100.0,-48.33333333333333
EIF3F,H0YDT6,41.66666666666667,90.0,-48.33333333333333
RAB26,Q9ULW5,51.66666666666667,100.0,-48.33333333333333
FBLN1,B1AHL2,25.0,71.66666666666667,-46.66666666666667
GBP2,P32456,53.333333333333336,100.0,-46.666666666666664
GSPT1,P15170,51.66666666666667,98.33333333333333,-46.66666666666666
LANCL1,O43813,16.666666666666664,61.66666666666667,-45.00000000000001
ASAP1,Q9ULH1,1.6666666666666667,46.666666666666664,-45.0
CXCL2,P19875,53.333333333333336,98.33333333333333,-44.99999999999999
STEAP3,Q658P3,48.333333333333336,93.33333333333333,-44.99999999999999
SCCPDH,Q8NBX0,43.333333333333336,88.33333333333333,-44.99999999999999
EIF3K,Q9UBQ5,55.00000000000001,100.0,-44.99999999999999
STAT3,A0A7I2YQR5,55.00000000000001,100.0,-44.99999999999999
SPDL1,Q96EA4,55.00000000000001,100.0,-44.99999999999999
GNA13,Q14344,56.666666666666664,100.0,-43.333333333333336
SOD2,P04179,56.666666666666664,100.0,-43.333333333333336
RSF1,Q96T23,3.3333333333333335,46.666666666666664,-43.33333333333333
NEBL,O76041,3.3333333333333335,46.666666666666664,-43.33333333333333
CRNKL1,Q9BZJ0,45.0,86.66666666666667,-41.66666666666667
KCND3,Q9UK17,40.0,81.66666666666667,-41.66666666666667
G6PD,E7EUI8,41.66666666666667,83.33333333333334,-41.66666666666667
LGALS3,P17931,53.333333333333336,95.0,-41.666666666666664
PLCB4,Q15147,58.333333333333336,100.0,-41.666666666666664
ATP5MG,O75964,58.333333333333336,100.0,-41.666666666666664
CDH5,P33151,50.0,91.66666666666666,-41.66666666666666
MTMR3,Q13615,31.666666666666664,71.66666666666667,-40.00000000000001
CD6,P30203,5.0,45.0,-40.0
ZC3H15,Q8WU90,60.0,100.0,-40.0
TBK1,A0A494C045,60.0,100.0,-40.0
ALDH1A3,P47895,28.333333333333332,68.33333333333333,-40.0
SERPINE1,P05121,10.0,50.0,-40.0
MGLL,Q99685,58.333333333333336,98.33333333333333,-39.99999999999999
SNRPD1,P62314,48.333333333333336,88.33333333333333,-39.99999999999999
FN3K,Q9H479,58.333333333333336,98.33333333333333,-39.99999999999999
PPP1CA,P62136,0.0,38.333333333333336,-38.333333333333336
UBE2M,P61081,15.0,53.333333333333336,-38.333333333333336
RPL10A,P62906,3.3333333333333335,41.66666666666667,-38.333333333333336
TSPAN9,B5MD23,1.6666666666666667,40.0,-38.333333333333336
UBASH3B,Q8TF42,0.0,38.333333333333336,-38.333333333333336
PDLIM5,Q96HC4,46.666666666666664,85.0,-38.333333333333336
NAP1L4,Q99733,0.0,38.333333333333336,-38.333333333333336
TRIM22,Q8IYM9,0.0,38.333333333333336,-38.333333333333336
TUBA1C,F5H5D3,26.666666666666668,65.0,-38.33333333333333
PDE5A,O76074,35.0,73.33333333333333,-38.33333333333333
TTC9,Q92623,46.666666666666664,83.33333333333334,-36.66666666666668
CLC,Q05315,63.33333333333333,100.0,-36.66666666666667
PRDX5,P30044,8.333333333333332,45.0,-36.66666666666667
CHMP3,Q9Y3E7,11.666666666666666,48.333333333333336,-36.66666666666667
LIAT1,Q6ZQX7,60.0,96.66666666666667,-36.66666666666667
RABL6,Q3YEC7,63.33333333333333,100.0,-36.66666666666667
ZNF471,Q9BX82,58.333333333333336,95.0,-36.666666666666664
SIMC1,Q8NDZ2,43.333333333333336,80.0,-36.666666666666664
TPT1,A0A0B4J2C3,48.333333333333336,85.0,-36.666666666666664
NINL,Q9Y2I6,66.66666666666666,30.0,36.66666666666666
RPS6KA1,Q15418,46.666666666666664,81.66666666666667,-35.00000000000001
STK38,Q15208,18.333333333333332,53.333333333333336,-35.0
IRF2,K4DIA4,63.33333333333333,98.33333333333333,-35.0
SLC44A5,Q8NCS7,10.0,45.0,-35.0
ACAD8,Q9UKU7,28.333333333333332,63.33333333333333,-35.0
GNL3,Q9BVP2,56.666666666666664,21.666666666666668,35.0
MYH7B,A7E2Y1,13.333333333333334,48.333333333333336,-35.0
FAXDC2,Q96IV6,8.333333333333332,43.333333333333336,-35.0
VPS13B,Q7Z7G8,46.666666666666664,11.666666666666666,35.0
GNL1,P36915,65.0,100.0,-35.0
DDX1,Q92499,10.0,45.0,-35.0
ACSL4,O60488,8.333333333333332,43.333333333333336,-35.0
PRNP,P04156,0.0,35.0,-35.0
TLN2,Q9Y4G6,65.0,100.0,-35.0
CARS1,P49589,63.33333333333333,98.33333333333333,-35.0
ALDH3A2,J3KTD9,56.666666666666664,21.666666666666668,35.0
RASA2,Q15283,65.0,100.0,-35.0
AKT1,A0AAQ5BHJ3,66.66666666666666,31.666666666666664,34.99999999999999
NIBAN1,Q9BZQ8,56.666666666666664,91.66666666666666,-34.99999999999999
IL1RN,P18510,53.333333333333336,88.33333333333333,-34.99999999999999
F13A1,P00488,58.333333333333336,93.33333333333333,-34.99999999999999
REEP5,Q00765,66.66666666666666,100.0,-33.33333333333334
RAP2B,P61225,18.333333333333332,51.66666666666667,-33.33333333333334
TCEAL5,Q5H9L2,66.66666666666666,100.0,-33.33333333333334
YWHAG,P61981,66.66666666666666,100.0,-33.33333333333334
ALDH2,P05091,66.66666666666666,100.0,-33.33333333333334
TENT4B,A0A7N4YH79,5.0,38.333333333333336,-33.333333333333336
ZNF407,Q9C0G0,46.666666666666664,80.0,-33.333333333333336
NME1-NME2,Q32Q12,56.666666666666664,90.0,-33.333333333333336
PATJ,A0A2R8Y549,61.66666666666667,95.0,-33.33333333333333
TRIR,Q9BQ61,41.66666666666667,75.0,-33.33333333333333
FTCD,O95954,95.0,61.66666666666667,33.33333333333333
CTHRC1,Q96CG8,88.33333333333333,55.00000000000001,33.33333333333332
SERPINB9,P50453,16.666666666666664,48.333333333333336,-31.66666666666667
UTP3,Q9NQZ2,68.33333333333333,100.0,-31.66666666666667
FBLN7,Q53RD9,51.66666666666667,83.33333333333334,-31.66666666666667
MTSS1,O43312,68.33333333333333,100.0,-31.66666666666667
DENND3,H0YAY3,68.33333333333333,100.0,-31.66666666666667
SNAP23,O00161,66.66666666666666,98.33333333333333,-31.66666666666667
NARS1,O43776,16.666666666666664,48.333333333333336,-31.66666666666667
PEG10,Q86TG7,45.0,76.66666666666667,-31.66666666666667
SRP9,P49458,6.666666666666667,38.333333333333336,-31.666666666666668
GLI1,P08151,18.333333333333332,50.0,-31.666666666666668
RPS3A,P61247,6.666666666666667,38.333333333333336,-31.666666666666668
SYBU,A0A0C4DG86,56.666666666666664,25.0,31.666666666666664
CDA,P32320,31.666666666666664,63.33333333333333,-31.666666666666664
ATP2B3,A0A994J7W3,75.0,43.333333333333336,31.666666666666664
PKP3,Q9Y446,56.666666666666664,86.66666666666667,-30.000000000000007
CMAS,Q8NFW8,25.0,55.00000000000001,-30.000000000000007
DARS1,P14868,18.333333333333332,48.333333333333336,-30.000000000000004
NAA10,P41227,28.333333333333332,58.333333333333336,-30.000000000000004
CORO6,Q6QEF8,70.0,100.0,-30.0
CFAP36,Q96G28,68.33333333333333,98.33333333333333,-30.0
DUSP22,Q9NRW4,70.0,100.0,-30.0
RPS25,P62851,16.666666666666664,46.666666666666664,-30.0
STK11,A0AAQ5BHW9,70.0,100.0,-30.0
COLEC10,Q9Y6Z7,3.3333333333333335,33.33333333333333,-29.999999999999996
EXOC4,Q96A65,85.0,55.00000000000001,29.999999999999993
GPC1,P35052,91.66666666666666,61.66666666666667,29.999999999999986
TOP1,P11387,68.33333333333333,96.66666666666667,-28.333333333333343
GCFC2,P16383,68.33333333333333,96.66666666666667,-28.333333333333343
PLA2G4D,Q86XP0,55.00000000000001,83.33333333333334,-28.333333333333336
IFI16,Q16666,10.0,38.333333333333336,-28.333333333333336
CPNE1,B0QZ18,85.0,56.666666666666664,28.333333333333336
H1-0,P07305,30.0,58.333333333333336,-28.333333333333336
ZC3H6,P61129,53.333333333333336,81.66666666666667,-28.333333333333336
ARG1,P05089,35.0,63.33333333333333,-28.33333333333333
ZNF766,G3XAE0,51.66666666666667,80.0,-28.33333333333333
TRAK1,A0A5F9ZI06,65.0,93.33333333333333,-28.33333333333333
TCAF1,Q9Y4C2,71.66666666666667,100.0,-28.33333333333333
ASH2L,Q9UBL3,71.66666666666667,100.0,-28.33333333333333
KHDRBS1,Q07666,51.66666666666667,80.0,-28.33333333333333
IDH1,O75874,16.666666666666664,43.333333333333336,-26.66666666666667
ADGRV1,Q8WXG9,51.66666666666667,25.0,26.66666666666667
ZNF729,A6NN14,73.33333333333333,100.0,-26.66666666666667
KALRN,O60229,31.666666666666664,58.333333333333336,-26.66666666666667
PRDX2,P32119,50.0,76.66666666666667,-26.66666666666667
RAB21,Q9UL25,60.0,86.66666666666667,-26.66666666666667
ALDH1L2,A0A494C1M4,73.33333333333333,100.0,-26.66666666666667
RPLP0,P05388,53.333333333333336,26.666666666666668,26.666666666666668
NEK7,Q8TDX7,5.0,31.666666666666664,-26.666666666666664
AP3D1,O14617,48.333333333333336,75.0,-26.666666666666664
ARHGAP29,Q52LW3,58.333333333333336,85.0,-26.666666666666664
PRXL2A,Q9BRX8,33.33333333333333,6.666666666666667,26.66666666666666
THAP9,Q9H5L6,61.66666666666667,88.33333333333333,-26.666666666666657
FSTL1,Q12841,40.0,66.66666666666666,-26.666666666666657
ARCN1,B0YIW6,71.66666666666667,98.33333333333333,-26.666666666666657
UBC,F5H2Z3,40.0,66.66666666666666,-26.666666666666657
RPS3,P23396,40.0,66.66666666666666,-26.666666666666657
EBP,Q15125,71.66666666666667,98.33333333333333,-26.666666666666657
PTPN1,P18031,28.333333333333332,53.333333333333336,-25.000000000000004
TAF9B,Q9HBM6,45.0,70.0,-25.0
EMP3,P54852,73.33333333333333,98.33333333333333,-25.0
RHAG,A0A2R8YEH1,71.66666666666667,96.66666666666667,-25.0
MACROH2A1,O75367,0.0,25.0,-25.0
NSF,K7EQD6,73.33333333333333,98.33333333333333,-25.0
ERCC2,P18074,70.0,45.0,25.0
GNG5B,A0A804HLA8,75.0,100.0,-25.0
IDH3G,P51553,98.33333333333333,73.33333333333333,25.0
PDGFA,P04085,75.0,100.0,-25.0
RPL10,P27635,0.0,25.0,-25.0
CNKSR2,Q8WXI2,51.66666666666667,76.66666666666667,-25.0
EIF3G,O75821,8.333333333333332,33.33333333333333,-24.999999999999996
MICU3,Q86XE3,31.666666666666664,6.666666666666667,24.999999999999996
S100A16,Q96FQ6,90.0,66.66666666666666,23.333333333333343
CDK5RAP3,Q96JB5,58.333333333333336,81.66666666666667,-23.333333333333336
PSMA5,P28066,58.333333333333336,81.66666666666667,-23.333333333333336
ATP6V0A4,Q9HBG4,38.333333333333336,61.66666666666667,-23.333333333333336
PROB1,E7EW31,1.6666666666666667,25.0,-23.333333333333332
AGAP2,F8VVT9,28.333333333333332,5.0,23.333333333333332
ATF6B,H0Y7D7,6.666666666666667,30.0,-23.333333333333332
SERPING1,E9PGN7,21.666666666666668,45.0,-23.333333333333332
PAPPA,Q13219,8.333333333333332,31.666666666666664,-23.333333333333332
PIP5K1C,O60331,5.0,28.333333333333332,-23.333333333333332
SRSF3,P84103,26.666666666666668,50.0,-23.333333333333332
ARPC4,P59998,5.0,28.333333333333332,-23.333333333333332
ZBTB24,A0A8V8TLS8,0.0,23.333333333333332,-23.333333333333332
CDC37,Q16543,75.0,98.33333333333333,-23.33333333333333
PKHD1,P08F94,51.66666666666667,75.0,-23.33333333333333
TMSB4X,P62328,75.0,98.33333333333333,-23.33333333333333
SSX7,Q7RTT5,88.33333333333333,65.0,23.33333333333333
NDUFA4,O00483,75.0,98.33333333333333,-23.33333333333333
NCK2,O43639,76.66666666666667,100.0,-23.33333333333333
CIDEB,Q9UHD4,65.0,88.33333333333333,-23.33333333333333
STX17,P56962,76.66666666666667,100.0,-23.33333333333333
EPHB2,P29323,76.66666666666667,100.0,-23.33333333333333
HCLS1,P14317,10.0,33.33333333333333,-23.33333333333333
PTPRZ1,A0A494C087,55.00000000000001,33.33333333333333,21.66666666666668
ANXA8L1,A0A075B752,66.66666666666666,88.33333333333333,-21.66666666666667
GJC1,P36383,51.66666666666667,30.0,21.66666666666667
STRAP,Q9Y3F4,78.33333333333333,100.0,-21.66666666666667
ZNF207,O43670,78.33333333333333,100.0,-21.66666666666667
ERCC6,Q03468,78.33333333333333,100.0,-21.66666666666667
APBB2,Q92870,86.66666666666667,65.0,21.66666666666667
COG2,Q14746,50.0,71.66666666666667,-21.66666666666667
NUCKS1,Q9H1E3,20.0,41.66666666666667,-21.66666666666667
RANBP1,F6WQW2,65.0,86.66666666666667,-21.66666666666667
UBN2,Q6ZU65,66.66666666666666,88.33333333333333,-21.66666666666667
MPO,P05164,81.66666666666667,60.0,21.66666666666667
SSR4,P51571,65.0,86.66666666666667,-21.66666666666667
UTRN,P46939,63.33333333333333,85.0,-21.66666666666667
TC2N,Q8N9U0,75.0,96.66666666666667,-21.66666666666667
PTPN23,Q9H3S7,25.0,3.3333333333333335,21.666666666666668
,A0A087WV05,5.0,26.666666666666668,-21.666666666666668
RARS1,P54136,21.666666666666668,43.333333333333336,-21.666666666666668
CAPG,P40121,28.333333333333332,50.0,-21.666666666666668
HYPK,Q9NX55,65.0,43.333333333333336,21.666666666666664
HARBI1,Q96MB7,35.0,56.666666666666664,-21.666666666666664
DCANP1,Q8TF63,10.0,31.666666666666664,-21.666666666666664
CSTB,P04080,6.666666666666667,28.333333333333332,-21.666666666666664
MKRN3,Q13064,75.0,53.333333333333336,21.666666666666664
ADH1B,P00325,51.66666666666667,73.33333333333333,-21.666666666666657
IGKV1D-39,P04432,76.66666666666667,98.33333333333333,-21.666666666666657
UBE4B,O95155,70.0,91.66666666666666,-21.666666666666657
PPP2R1A,C9J9C1,71.66666666666667,93.33333333333333,-21.666666666666657
RGS6,P49758,55.00000000000001,35.0,20.000000000000007
KRT13,K7EMD9,43.333333333333336,23.333333333333332,20.000000000000004
LSM7,Q9UK45,80.0,100.0,-20.0
THBS2,A0A3B3ITK0,80.0,100.0,-20.0
TMEM214,H7C085,90.0,70.0,20.0
PCID2,Q5JVF3,1.6666666666666667,21.666666666666668,-20.0
GUCY1A2,P33402,26.666666666666668,6.666666666666667,20.0
PREX1,H0YDZ4,3.3333333333333335,23.333333333333332,-20.0
