Gene,Accession,Description,Mean_Sarc,Mean_Control,Log2FC,P_value,T_statistic,Cohens_d,FDR
APOB,A0AAG2UUW0,Apolipoprotein B OS=Homo sapiens OX=9606 GN=APOB PE=1 SV=1,31.99770995640309,32.10978068078741,-0.11207072438432064,0.10602143522438366,-1.6419053213377401,-0.4239381310393604,0.39195140898416475
F5,P12259,Coagulation factor V OS=Homo sapiens OX=9606 GN=F5 PE=1 SV=4,31.49619551805683,31.505182089437866,-0.008986571381036867,0.8263911482117436,-0.2203257745201487,-0.05688787036378576,0.9455771083239671
TLN1,Q9Y490,Talin-1 OS=Homo sapiens OX=9606 GN=TLN1 PE=1 SV=3,30.36229830397597,30.32448943869889,0.037808865277078496,0.6430007980016885,0.4659438831705104,0.12030619331910675,0.8590419629305994
FGA,P02671,Fibrinogen alpha chain OS=Homo sapiens OX=9606 GN=FGA PE=1 SV=2,31.398112353328756,31.293284314570766,0.10482803875799007,0.07355833561414626,1.8223504171339737,0.470528854434268,0.3321886358387582
C3,P01024,Complement C3 OS=Homo sapiens OX=9606 GN=C3 PE=1 SV=2,31.450140719089013,31.41596666297001,0.03417405611900293,0.5656824616146552,0.5777302769344876,0.14916931607780465,0.8146736174097002
FGB,P02675,Fibrinogen beta chain OS=Homo sapiens OX=9606 GN=FGB PE=1 SV=2,28.09596386751226,28.111237244180394,-0.015273376668133665,0.929923430376475,-0.08832399654713835,-0.022805157846503218,0.9802150900651133
APOE,P02649,Apolipoprotein E OS=Homo sapiens OX=9606 GN=APOE PE=1 SV=1,32.505052796344216,32.485057128593155,0.01999566775106132,0.6467398009969989,0.4606955896473284,0.1189510897583539,0.8590419629305994
ALB,P02768,Albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=2,31.24580372750318,31.291625773420275,-0.04582204591709527,0.2718248948225855,-1.1094269528766376,-0.28645280748832386,0.6022171405383543
KRT1,P04264,"Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6",30.785278963089635,30.67528445816031,0.10999450492932539,0.11683181433770298,1.591950936968354,0.41103996445718183,0.40767307581004353
FGG,P02679,Fibrinogen gamma chain OS=Homo sapiens OX=9606 GN=FGG PE=1 SV=3,31.053696793681006,30.92235235429977,0.13134443938123752,0.046701901127132336,2.03238816806287,0.5247603685290997,0.2705331909879804
