Gene,Accession,Description,Mean_Sarc,Mean_Control,Log2FC,P_value,T_statistic,Cohens_d,FDR
ITGA1,P56199,Integrin alpha-1 OS=Homo sapiens OX=9606 GN=ITGA1 PE=1 SV=2,22.68487493379178,21.315750790961644,1.3691241428301346,6.788914697149913e-05,4.2928494805338175,1.108408969725509,0.0023408700099980372
NAA10,P41227,N-alpha-acetyltransferase 10 OS=Homo sapiens OX=9606 GN=NAA10 PE=1 SV=1,18.737389027838603,17.575946577443016,1.1614424503955867,0.0004909530132939992,3.693708057755778,0.9537113195626847,0.011285625036360776
MTARC2,Q969Z3,Mitochondrial amidoxime reducing component 2 OS=Homo sapiens OX=9606 GN=MTARC2 PE=1 SV=1,17.309167051022396,16.06300824241044,1.2461588086119555,0.0002687707994730517,3.8807993758862116,1.0020180901852955,0.006984145557321474
HMOX1,P09601,Heme oxygenase 1 OS=Homo sapiens OX=9606 GN=HMOX1 PE=1 SV=1,22.88223688633062,22.072959112096463,0.8092777742341575,2.1834270248466357e-10,7.671056527670725,1.9806582786322944,2.17493591975001e-08
KRT13,K7EMD9,Keratin 13 (Fragment) OS=Homo sapiens OX=9606 GN=KRT13 PE=1 SV=1,18.382105109582962,20.84893185760659,-2.466826748023628,9.44720412548677e-15,-10.322518358965047,-2.6652627796794626,1.5398942724543436e-12
UBC,F5H2Z3,Ubiquitin C (Fragment) OS=Homo sapiens OX=9606 GN=UBC PE=1 SV=1,17.95515174453467,18.977400844565818,-1.0222491000311464,0.00020047457017666567,-3.970245535584642,-1.0251129893115778,0.00536493887054868
KRT86,O43790,"Keratin, type II cuticular Hb6 OS=Homo sapiens OX=9606 GN=KRT86 PE=1 SV=1",19.427089630822927,18.020761627002937,1.40632800381999,0.00011340063340851563,4.141419679795963,1.0693099633003613,0.003333235011499484
PCSK9,A0AA34QVH0,Proprotein convertase subtilisin/kexin type 9 OS=Homo sapiens OX=9606 GN=PCSK9 PE=1 SV=1,22.885355858769945,24.679809699288402,-1.7944538405184574,6.067258587468047e-07,-5.603995617575175,-1.4469454466058669,3.6261982157767364e-05
RHOF,Q9HBH0,Rho-related GTP-binding protein RhoF OS=Homo sapiens OX=9606 GN=RHOF PE=1 SV=1,25.42796095620852,22.886154485017034,2.541806471191485,2.4084929933824017e-19,13.355980179508572,3.4484992538342034,8.636855874269293e-17
YWHAH,Q04917,14-3-3 protein eta OS=Homo sapiens OX=9606 GN=YWHAH PE=1 SV=4,23.223350351776222,22.41977610405478,0.8035742477214427,3.7561882455202515e-09,6.935843323758541,1.7908270456547153,3.5446555390620057e-07
IGLV3-9,A0A075B6K5,Immunoglobulin lambda variable 3-9 OS=Homo sapiens OX=9606 GN=IGLV3-9 PE=1 SV=1,23.788815885188573,23.370105485299508,0.4187103998890649,7.93070335037656e-05,4.247219814957054,1.0966274407340546,0.002644358787753725
PSME1,Q06323,Proteasome activator complex subunit 1 OS=Homo sapiens OX=9606 GN=PSME1 PE=1 SV=1,22.64697938721323,23.806360299725508,-1.1593809125122796,6.953430374880257e-11,-7.9671207558497725,-2.0571017336419746,7.333823918917824e-09
S100A14,Q9HCY8,Protein S100-A14 OS=Homo sapiens OX=9606 GN=S100A14 PE=1 SV=1,20.554142782725698,22.505910088159585,-1.9517673054338864,2.056413671183523e-21,-14.844460234772699,-3.832823151514195,9.217874281080141e-19
DDX1,A0A7I2V4J3,ATP-dependent RNA helicase DDX1 OS=Homo sapiens OX=9606 GN=DDX1 PE=1 SV=1,25.900645343820624,25.473115278896827,0.42753006492379697,0.003076528665842072,3.08950516767985,0.7977068041630542,0.04838785875311259
LANCL1,O43813,Glutathione S-transferase LANCL1 OS=Homo sapiens OX=9606 GN=LANCL1 PE=1 SV=1,17.80474453961851,19.453859677895384,-1.6491151382768727,3.168910657637459e-06,-5.157372483346953,-1.3316278492127425,0.00015782935580955457
PARP1,P09874,Poly [ADP-ribose] polymerase 1 OS=Homo sapiens OX=9606 GN=PARP1 PE=1 SV=4,21.192984147282797,23.14195363896034,-1.9489694916775449,1.325517905116773e-08,-6.6090132509710315,-1.7064398837249963,1.0333276538584234e-06
GRN,P28799,Progranulin OS=Homo sapiens OX=9606 GN=GRN PE=1 SV=2,22.72395629642994,23.2074120010675,-0.48345570463756005,0.0025812069957379816,-3.1500165446900685,-0.8133307745241646,0.0428594532815094
CRABP2,P29373,Cellular retinoic acid-binding protein 2 OS=Homo sapiens OX=9606 GN=CRABP2 PE=1 SV=2,23.02757226261593,20.898596889591285,2.1289753730246446,3.593668214004567e-12,8.738276558642116,2.2562133057450384,4.956497775161684e-10
DAAM1,Q9Y4D1,Disheveled-associated activator of morphogenesis 1 OS=Homo sapiens OX=9606 GN=DAAM1 PE=1 SV=2,21.169543580945703,20.627124932147304,0.5424186487983995,0.0027834650296008844,3.1240943388197486,0.8066376897486505,0.04537047998249442
NUCKS1,Q9H1E3,Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1 OS=Homo sapiens OX=9606 GN=NUCKS1 PE=1 SV=1,17.094782138213354,21.600436147609926,-4.505654009396572,5.090859496470918e-25,-17.670828939464748,-4.562588413081802,3.0426370257241185e-22
SIPA1L2,A0A6Q8PFQ0,Signal induced proliferation associated 1 like 2 OS=Homo sapiens OX=9606 GN=SIPA1L2 PE=1 SV=1,23.61176783792852,22.065619850091352,1.5461479878371698,4.627152209019101e-12,8.672126546906664,2.2391334461581827,5.926059936265177e-10
MGAM,O43451,Maltase-glucoamylase OS=Homo sapiens OX=9606 GN=MGAM PE=1 SV=6,17.501334414160134,20.27572413792058,-2.7743897237604465,9.202093446235627e-14,-9.7079395724494,-2.506579219338965,1.3749461290917064e-11
EIF2AK2,P19525,"Interferon-induced, double-stranded RNA-activated protein kinase OS=Homo sapiens OX=9606 GN=EIF2AK2 PE=1 SV=2",20.799248835094296,18.112880154736857,2.6863686803574396,1.4909749667781202e-15,10.829461637950756,2.7961549714783582,2.6733181154331697e-13
ARPC4,F8WDD7,Actin related protein 2/3 complex subunit 4 OS=Homo sapiens OX=9606 GN=ARPC4 PE=3 SV=1,14.355837797005455,12.280848543659044,2.074989253346411,2.6526906843077e-05,4.564480092315754,1.1785436921089474,0.0010569498659919346
SNRPF,P62306,Small nuclear ribonucleoprotein F OS=Homo sapiens OX=9606 GN=SNRPF PE=1 SV=1,17.435513470411227,18.464557926122257,-1.0290444557110305,0.0013130724235101486,-3.3771578713882078,-0.8719784128933213,0.026753850629019277
DOCK10,A0A2R8YD85,Dedicator of cytokinesis 10 OS=Homo sapiens OX=9606 GN=DOCK10 PE=1 SV=1,20.868831900274756,18.315417369936725,2.5534145303380313,8.171533584182757e-12,8.523570260736683,2.2007763780041327,9.767706477626455e-10
MKI67,P46013,Proliferation marker protein Ki-67 OS=Homo sapiens OX=9606 GN=MKI67 PE=1 SV=2,21.05581211858097,19.535370761789167,1.5204413567918031,0.0002905390486756734,3.8568706378622295,0.9958397165944529,0.007337134003880034
HLA-DRB5,Q30154,"HLA class II histocompatibility antigen, DR beta 5 chain OS=Homo sapiens OX=9606 GN=HLA-DRB5 PE=1 SV=1",20.735099940243785,19.57431910849572,1.1607808317480632,1.9050217075161207e-05,4.6586296692347435,1.2028530083395952,0.0008539259803941011
PREX1,Q8TCU6,"Phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 1 protein OS=Homo sapiens OX=9606 GN=PREX1 PE=1 SV=3",18.353354972342746,16.476941199771677,1.8764137725710697,1.1416760341630699e-08,6.647781139107573,1.7164497093996935,9.304659678429019e-07
HARBI1,Q96MB7,Putative nuclease HARBI1 OS=Homo sapiens OX=9606 GN=HARBI1 PE=1 SV=1,18.058692158485936,19.822358206441194,-1.7636660479552582,0.0004078166724522637,-3.7518172317914273,-0.9687150437828141,0.00962125386456459
KPNA4,O00629,Importin subunit alpha-3 OS=Homo sapiens OX=9606 GN=KPNA4 PE=1 SV=1,21.031332322011,19.244731749588336,1.786600572422664,8.834073883510319e-09,6.714324094613953,1.7336310266319355,7.542616415778096e-07
SAMD9,Q5K651,Sterile alpha motif domain-containing protein 9 OS=Homo sapiens OX=9606 GN=SAMD9 PE=1 SV=1,22.216734936374518,19.74053436731307,2.4762005690614473,1.747461287138011e-18,12.761369548498815,3.2949714490756246,3.9164976097980667e-16
STX12,B1AJQ6,Syntaxin 12 (Fragment) OS=Homo sapiens OX=9606 GN=STX12 PE=1 SV=2,22.34187737138944,19.646187435176216,2.695689936213224,8.10884822563986e-19,12.990127889542439,3.3540365987534915,2.4231941447620446e-16
TRMT11,Q7Z4G4,tRNA (guanine(10)-N(2))-methyltransferase homolog OS=Homo sapiens OX=9606 GN=TRMT11 PE=1 SV=1,21.362518779067532,23.632318871758184,-2.2698000926906516,1.3013671778696743e-25,-18.166867396772073,-4.690664992030448,1.1666756749601629e-22
ZNF41,P51814,Zinc finger protein 41 OS=Homo sapiens OX=9606 GN=ZNF41 PE=1 SV=2,20.49594805056051,22.142310261163654,-1.6463622106031437,2.877871711544279e-06,-5.18369730125376,-1.338424887969076,0.00014742925653711122
HARBI1,E9PQI1,Harbinger transposase derived 1 (Fragment) OS=Homo sapiens OX=9606 GN=HARBI1 PE=1 SV=8,19.61321403735979,21.583479124060016,-1.970265086700227,0.0004659721120245604,-3.710111132690007,-0.9579465752991422,0.010850493465714763
FGF2,A0A0A0MQV6,Fibroblast growth factor OS=Homo sapiens OX=9606 GN=FGF2 PE=1 SV=1,17.5041214585849,16.55316965151264,0.9509518070722613,1.6077544362927956e-06,5.3419547801466605,1.3792867933134079,8.928473878588876e-05
DNAH11,Q96DT5,Dynein axonemal heavy chain 11 OS=Homo sapiens OX=9606 GN=DNAH11 PE=1 SV=4,19.134829131940077,22.55863849101951,-3.423809359079435,1.6097692482317142e-18,-12.785727346052024,-3.3012606053605493,3.9164976097980667e-16
HOOK1,Q9UJC3,Protein Hook homolog 1 OS=Homo sapiens OX=9606 GN=HOOK1 PE=1 SV=2,20.734783036777348,18.895157973357662,1.8396250634196853,5.529670672792389e-27,19.35343841024864,4.997036310316262,9.914699516316753e-24
OR10T2,Q8NGX3,Olfactory receptor 10T2 OS=Homo sapiens OX=9606 GN=OR10T2 PE=3 SV=1,20.14220084579669,21.650886471030876,-1.508685625234186,1.643277400967278e-06,-5.336039080673376,-1.377759366277328,8.928473878588876e-05
PLEKHM1,Q9Y4G2,Pleckstrin homology domain-containing family M member 1 OS=Homo sapiens OX=9606 GN=PLEKHM1 PE=1 SV=3,22.121648318698263,24.05678401986163,-1.935135701163368,0.0015114487559892693,-3.3305887823251212,-0.8599543258006955,0.02883008105839106
XPO6,Q96QU8,Exportin-6 OS=Homo sapiens OX=9606 GN=XPO6 PE=1 SV=1,22.680136976870916,21.740222930877643,0.9399140459932731,0.002581606778808151,3.149963453611114,0.8133170664665229,0.0428594532815094
SLC7A8,Q9UHI5,Large neutral amino acids transporter small subunit 2 OS=Homo sapiens OX=9606 GN=SLC7A8 PE=1 SV=1,20.752220789667813,19.308367462031047,1.4438533276367664,5.0800359924830996e-05,4.377412842906307,1.1302431360033727,0.0018487424487747394
IMUP,Q9GZP8,Immortalization up-regulated protein OS=Homo sapiens OX=9606 GN=IMUP PE=1 SV=1,24.016871074406524,19.999630053703996,4.017241020702528,3.6246139928381376e-07,5.741282614360744,1.4823927967526227,2.241011341089235e-05
DIXDC1,Q155Q3,Dixin OS=Homo sapiens OX=9606 GN=DIXDC1 PE=1 SV=2,23.966334273273514,23.015389763483007,0.9509445097905065,8.382547996487647e-07,5.51743803782322,1.4245963756147109,4.848357599258822e-05
