Gene,Accession,Description,Mean_Group1,Mean_Group2,Log2FC,P_value,T_statistic,Cohens_d,FDR
APOB,A0AAG2UUW0,Apolipoprotein B OS=Homo sapiens OX=9606 GN=APOB PE=1 SV=1,31.99770995640309,32.10978068078741,-0.11207072438432064,0.1060214352243836,-1.6419053213377404,-0.4239381310393604,0.4021241578867693
F5,P12259,Coagulation factor V OS=Homo sapiens OX=9606 GN=F5 PE=1 SV=4,31.49619551805683,31.505182089437866,-0.008986571381036867,0.8263911482117436,-0.2203257745201487,-0.05688787036378576,0.9484364048230087
TLN1,Q9Y490,Talin-1 OS=Homo sapiens OX=9606 GN=TLN1 PE=1 SV=3,30.36229830397597,30.32448943869889,0.037808865277078496,0.6430007980016883,0.46594388317051055,0.12030619331910679,0.8622153065643009
FGA,P02671,Fibrinogen alpha chain OS=Homo sapiens OX=9606 GN=FGA PE=1 SV=2,31.398112353328756,31.293284314570766,0.10482803875799007,0.07355833561414626,1.8223504171339737,0.470528854434268,0.34346083659108756
C3,P01024,Complement C3 OS=Homo sapiens OX=9606 GN=C3 PE=1 SV=2,31.450140719089013,31.41596666297001,0.03417405611900293,0.5656824616146552,0.5777302769344876,0.14916931607780465,0.8184669948702504
FGB,P02675,Fibrinogen beta chain OS=Homo sapiens OX=9606 GN=FGB PE=1 SV=2,28.09596386751226,28.111237244180394,-0.015273376668133665,0.929923430376475,-0.08832399654713836,-0.022805157846503218,0.9802377340277638
APOE,P02649,Apolipoprotein E OS=Homo sapiens OX=9606 GN=APOE PE=1 SV=1,32.505052796344216,32.485057128593155,0.01999566775106132,0.6467398009969989,0.4606955896473285,0.11895108975835395,0.8622153065643009
ALB,P02768,Albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=2,31.24580372750318,31.291625773420275,-0.04582204591709527,0.27182489482258554,-1.1094269528766376,-0.28645280748832386,0.6134732039134575
KRT1,P04264,"Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6",30.785278963089635,30.67528445816031,0.10999450492932539,0.11683181433770298,1.591950936968354,0.41103996445718183,0.41629545478406715
FGG,P02679,Fibrinogen gamma chain OS=Homo sapiens OX=9606 GN=FGG PE=1 SV=3,31.053696793681006,30.92235235429977,0.13134443938123752,0.046701901127132336,2.03238816806287,0.5247603685290997,0.2843913899805315
KNG1,P01042,Kininogen-1 OS=Homo sapiens OX=9606 GN=KNG1 PE=1 SV=2,32.355784474131426,32.413847846334974,-0.058063372203548624,0.2648072244962541,-1.125990246440415,-0.29072943149704755,0.6060889491703058
KRT2,P35908,"Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2",30.40711854144771,30.60808747905744,-0.2009689376097299,0.06421624712927017,-1.8866509632770252,-0.48713118405853995,0.332131434015998
FLNA,P21333,Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4,30.77442558215038,30.81220829502069,-0.03778271287031032,0.6345922369327173,-0.47779461171827864,-0.12336603827283547,0.8574972568435587
FN1,P02751,Fibronectin OS=Homo sapiens OX=9606 GN=FN1 PE=1 SV=5,28.45445069989223,28.59551118307561,-0.14106048318338082,0.31284271799042696,-1.0181336862667456,-0.2628809874082582,0.6422144971117915
KRT9,P35527,"Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3",30.033349684162726,30.12578779740032,-0.09243811323759488,0.17635725985793949,-1.3687446191980575,-0.3534083410243393,0.5007791710404592
THBS1,P07996,Thrombospondin-1 OS=Homo sapiens OX=9606 GN=THBS1 PE=1 SV=2,29.63636500602069,29.645405271932667,-0.009040265911977485,0.9059603415097122,-0.11865290890518791,-0.030636049344590566,0.974473210010109
ANPEP,P15144,Aminopeptidase N OS=Homo sapiens OX=9606 GN=ANPEP PE=1 SV=4,29.70205589814436,29.48907677224953,0.21297912589482948,0.015094133849041203,2.504535227115206,0.6466682149738001,0.1531525810288066
VTN,P04004,Vitronectin OS=Homo sapiens OX=9606 GN=VTN PE=1 SV=1,30.73670784495282,30.830626913500524,-0.09391906854770227,0.28918665278378286,-1.069698486991301,-0.27619496170537206,0.625066944212437
MMRN1,Q13201,Multimerin-1 OS=Homo sapiens OX=9606 GN=MMRN1 PE=1 SV=3,29.831109983067755,29.714991476243373,0.11611850682438174,0.13786416353038727,1.504558276585373,0.3884752765742454,0.44746572151303493
C4A,A0A140TA44,Complement C4A (Rodgers blood group) OS=Homo sapiens OX=9606 GN=C4A PE=1 SV=1,23.306175767108343,23.28999052148189,0.016185245626452627,0.8743065139044726,0.15889127856511548,0.041025551716019716,0.9598692464850619
VWF,P04275,von Willebrand factor OS=Homo sapiens OX=9606 GN=VWF PE=1 SV=4,28.525197469187432,28.612020676044608,-0.0868232068571757,0.41575846841083297,-0.8196725759778047,-0.21163854907366475,0.7205881215116513
LPA,P08519,Apolipoprotein(a) OS=Homo sapiens OX=9606 GN=LPA PE=1 SV=2,29.70740719688681,29.730944610292322,-0.02353741340551352,0.7881080212066098,-0.2700138576640906,-0.06971727826521618,0.9340055249197784
A2M,P01023,Alpha-2-macroglobulin OS=Homo sapiens OX=9606 GN=A2M PE=1 SV=3,31.128977505544928,31.022946901382443,0.10603060416248411,0.0813393564198346,1.7738378100999959,0.4580029531593545,0.3569520517267122
HRG,P04196,Histidine-rich glycoprotein OS=Homo sapiens OX=9606 GN=HRG PE=1 SV=1,32.24997928596791,32.31048707369529,-0.06050778772738141,0.268711953912572,-1.1167365544926215,-0.288340138510065,0.6115116322610389
TF,P02787,Serotransferrin OS=Homo sapiens OX=9606 GN=TF PE=1 SV=5,30.525489409075977,30.570896966893624,-0.04540755781764716,0.5834231192968209,-0.5514800784664048,-0.14239154397770304,0.823975487511714
APOA4,P06727,Apolipoprotein A-IV OS=Homo sapiens OX=9606 GN=APOA4 PE=1 SV=4,29.55741888036974,29.57402167167403,-0.016602791304286768,0.8396998123241132,-0.203187285414661,-0.05246273150480502,0.9510506039034264
CFH,P08603,Complement factor H OS=Homo sapiens OX=9606 GN=CFH PE=1 SV=4,29.670182150194403,29.39054861198804,0.2796335382063617,0.046394362131664306,2.0353424928933803,0.52552317192029,0.2843913899805315
APOA1,P02647,Apolipoprotein A-I OS=Homo sapiens OX=9606 GN=APOA1 PE=1 SV=1,30.60915379269756,30.700596217676484,-0.09144242497892563,0.0978408021612159,-1.6825397984800503,-0.43442990792296116,0.3908884395964697
LTBP1,Q14766,Latent-transforming growth factor beta-binding protein 1 OS=Homo sapiens OX=9606 GN=LTBP1 PE=1 SV=4,30.38698382645517,30.399867302829268,-0.012883476374096148,0.844118992690048,-0.19751004202560846,-0.050996873564927235,0.9510840291011115
