Gene,Accession,Description,Log2FC,P_value,FDR,Cohens_d
ANTXR2,J3KPY9,Anthrax toxin receptor OS=Homo sapiens OX=9606 GN=ANTXR2 PE=1 SV=1,1.2348075404263987,0.007618636689901165,0.03877472283390593,0.7139376116042587
IGLC6,P0CF74,Immunoglobulin lambda constant 6 OS=Homo sapiens OX=9606 GN=IGLC6 PE=1 SV=1,0.7166907294644815,1.1608947876191309e-07,4.51050096750555e-06,1.5600981070889859
IGKV3-20,P01619,Immunoglobulin kappa variable 3-20 OS=Homo sapiens OX=9606 GN=IGKV3-20 PE=1 SV=2,0.576592342971292,0.00024247432856196971,0.0027788604704979698,1.0101580976975923
CDHR2,Q9BYE9,Cadherin-related family member 2 OS=Homo sapiens OX=9606 GN=CDHR2 PE=1 SV=2,1.282378956851133,0.0009449345916826439,0.007941230230043056,0.899749912983933
BANF1,O75531,Barrier-to-autointegration factor OS=Homo sapiens OX=9606 GN=BANF1 PE=1 SV=1,-0.558832393190901,1.0504893349170781e-06,2.5745069392660084e-05,-1.408939222407131
CD36,P16671,Platelet glycoprotein 4 OS=Homo sapiens OX=9606 GN=CD36 PE=1 SV=2,0.9634529300323287,0.009925666878064862,0.04623271151098633,0.6883866931125371
ANGPTL3,Q9Y5C1,Angiopoietin-related protein 3 OS=Homo sapiens OX=9606 GN=ANGPTL3 PE=1 SV=1,0.7731857467059875,0.0021616329696661353,0.015169521236467637,0.8289474379759458
CFHR2,P36980,Complement factor H-related protein 2 OS=Homo sapiens OX=9606 GN=CFHR2 PE=1 SV=1,0.5830885925706077,0.001260278550529242,0.010139513792894355,0.8754683178590809
CYP2C9,P11712,Cytochrome P450 2C9 OS=Homo sapiens OX=9606 GN=CYP2C9 PE=1 SV=3,1.7057215529876473,0.00013011417479506554,0.001669566948217428,1.0587235246829432
RAP1B,F5GZG1,"RAP1B, member of RAS oncogene family (Fragment) OS=Homo sapiens OX=9606 GN=RAP1B PE=1 SV=8",1.9624267696928328,0.0013997543839473884,0.010984279476000934,0.8665265891287192
ITGA1,P56199,Integrin alpha-1 OS=Homo sapiens OX=9606 GN=ITGA1 PE=1 SV=2,3.1051575237593774,6.852351806402867e-10,4.548248511499903e-08,1.9043617442210823
PF4V1,P10720,Platelet factor 4 variant OS=Homo sapiens OX=9606 GN=PF4V1 PE=1 SV=1,0.8629907586159931,2.6974266796615354e-07,8.952084793126722e-06,1.502635690706738
UGT2B17,O75795,UDP-glucuronosyltransferase 2B17 OS=Homo sapiens OX=9606 GN=UGT2B17 PE=1 SV=1,0.5963404209577341,0.0013612481124040065,0.01073499130227516,0.8689078157287103
SPRR2F,Q96RM1,Small proline-rich protein 2F OS=Homo sapiens OX=9606 GN=SPRR2F PE=1 SV=1,1.650162907206001,0.002330767777882536,0.016073216753969177,0.82233602976199
ABCF1,Q8NE71,ATP-binding cassette sub-family F member 1 OS=Homo sapiens OX=9606 GN=ABCF1 PE=1 SV=2,1.0028761371519188,4.6015997116674194e-05,0.0007116843049209902,1.1376502736028025
FGG,C9JU00,Fibrinogen gamma chain (Fragment) OS=Homo sapiens OX=9606 GN=FGG PE=1 SV=1,0.573456836608436,0.0029274274857025518,0.01943079993635069,0.8021459388286594
TUBB4B,P68371,Tubulin beta-4B chain OS=Homo sapiens OX=9606 GN=TUBB4B PE=1 SV=1,0.9235069605229356,5.5224142212619285e-06,0.00011135703613253484,1.2922233963702199
DNAJA2,O60884,DnaJ homolog subfamily A member 2 OS=Homo sapiens OX=9606 GN=DNAJA2 PE=1 SV=1,2.2346560279567846,1.9454361120116206e-06,4.304277397825711e-05,1.3659458094180137
