Gene,Accession,Description,Mean_Group1,Mean_Group2,Log2FC,P_value,T_statistic,Cohens_d,FDR
APOB,A0AAG2UUW0,Apolipoprotein B OS=Homo sapiens OX=9606 GN=APOB PE=1 SV=1,32.33046631642264,32.50268190397806,-0.17221558755542077,0.000225554054831679,-3.934400597489819,-1.0158578660924387,0.0026615378470138122
F5,P12259,Coagulation factor V OS=Homo sapiens OX=9606 GN=F5 PE=1 SV=4,31.656299111761378,31.72588670921068,-0.06958759744930276,0.08083713312703662,-1.776849322217246,-0.4587805222444886,0.20904797576520998
TLN1,Q9Y490,Talin-1 OS=Homo sapiens OX=9606 GN=TLN1 PE=1 SV=3,30.573702122328953,30.678130148477734,-0.10442802614878133,0.2650443194565183,-1.1254256249808106,-0.2905836468630502,0.4560504122131006
FGA,P02671,Fibrinogen alpha chain OS=Homo sapiens OX=9606 GN=FGA PE=1 SV=2,31.58025219843171,31.465248801175985,0.11500339725572672,0.09068840155894652,1.7204166785279915,0.444209676298426,0.22822531387583223
C3,P01024,Complement C3 OS=Homo sapiens OX=9606 GN=C3 PE=1 SV=2,31.68671392453173,31.803477663674652,-0.11676373914292171,0.0849096716859429,-1.7528636685730958,-0.4525874531037091,0.21770578678393182
FGB,P02675,Fibrinogen beta chain OS=Homo sapiens OX=9606 GN=FGB PE=1 SV=2,28.476136409150016,28.275455647363522,0.20068076178649363,0.13442357952309303,1.5180919826337886,0.39196966445011083,0.2939705090485404
APOE,P02649,Apolipoprotein E OS=Homo sapiens OX=9606 GN=APOE PE=1 SV=1,32.68524683663734,32.697100411055885,-0.011853574418545065,0.7720710600727527,-0.29102412942616646,-0.07514210710747031,0.8704240613559059
ALB,P02768,Albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=2,31.256259024572504,31.25346718992182,0.0027918346506830005,0.9482530568165914,0.06518223429900738,0.016829980527243032,0.9733035563845556
KRT1,P04264,"Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6",30.677851000512014,30.604499234533492,0.07335176597852211,0.24965206048066277,1.1628512240639133,0.3002468949944297,0.4443527735706098
FGG,P02679,Fibrinogen gamma chain OS=Homo sapiens OX=9606 GN=FGG PE=1 SV=3,30.9911566395075,30.874500119902645,0.1166565196048559,0.07242326333776937,1.8297827258585626,0.47244786829521496,0.19654217801885282
KNG1,P01042,Kininogen-1 OS=Homo sapiens OX=9606 GN=KNG1 PE=1 SV=2,32.72713485325473,32.66634537827005,0.06078947498468068,0.15763889109314685,1.4315520204458059,0.3696251422944124,0.32655234526837834
KRT2,P35908,"Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2",30.866157818583012,31.018766704396132,-0.1526088858131196,0.02656575543929502,-2.2758400814928095,-0.587619382283532,0.0942522236409732
FLNA,P21333,Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4,31.025634006034725,31.17642764876092,-0.150793642726196,0.058438088371558373,-1.9305051733912073,-0.4984542924207605,0.16743142945304407
FN1,P02751,Fibronectin OS=Homo sapiens OX=9606 GN=FN1 PE=1 SV=5,28.43932603925289,28.419423067830465,0.019902971422425253,0.8995605781181304,0.12677041637563458,0.03273198076097418,0.9477513233744588
KRT9,P35527,"Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3",29.993790099513596,29.924866287868916,0.0689238116446802,0.25848634274770466,1.1411767265565806,0.2946505638022088,0.4528036070848377
THBS1,P07996,Thrombospondin-1 OS=Homo sapiens OX=9606 GN=THBS1 PE=1 SV=2,29.629056109365045,29.793500112818098,-0.16444400345305255,0.08523835977431228,-1.7509698070915864,-0.45209846017184857,0.21795298093174875
ANPEP,P15144,Aminopeptidase N OS=Homo sapiens OX=9606 GN=ANPEP PE=1 SV=4,29.480686463723714,29.51023184145082,-0.02954537772710708,0.792075335133778,-0.26483521049978204,-0.06838015731699942,0.8791711498586963
VTN,P04004,Vitronectin OS=Homo sapiens OX=9606 GN=VTN PE=1 SV=1,30.07237557534525,30.18277723967933,-0.11040166433407705,0.2698157443407779,-1.114137921809836,-0.287669174436509,0.46068218728280724
MMRN1,Q13201,Multimerin-1 OS=Homo sapiens OX=9606 GN=MMRN1 PE=1 SV=3,29.521343536432635,29.61602883256022,-0.09468529612758658,0.4090131697968683,-0.8316576908150622,-0.21473309241813685,0.5934043529020139
C4A,A0A140TA44,Complement C4A (Rodgers blood group) OS=Homo sapiens OX=9606 GN=C4A PE=1 SV=1,23.236308814741722,23.04826988034744,0.18803893439428165,0.23992411323349405,1.1873643033772725,0.3065761448574231,0.4328415768753749
VWF,P04275,von Willebrand factor OS=Homo sapiens OX=9606 GN=VWF PE=1 SV=4,28.338713980234033,28.69549845540193,-0.35678447516789547,0.019923308988666635,-2.3939303274428756,-0.6181101526778083,0.07625246479760478
LPA,P08519,Apolipoprotein(a) OS=Homo sapiens OX=9606 GN=LPA PE=1 SV=2,29.57805310674844,29.552315558225473,0.02573754852296517,0.7477197451648714,0.32318199207072795,0.08344523153893779,0.8550055198644099
A2M,P01023,Alpha-2-macroglobulin OS=Homo sapiens OX=9606 GN=A2M PE=1 SV=3,31.205942111386612,31.327000835473886,-0.12105872408727336,0.10216780976547457,-1.6607154541818945,-0.42879488645571756,0.24772194970532876
HRG,P04196,Histidine-rich glycoprotein OS=Homo sapiens OX=9606 GN=HRG PE=1 SV=1,32.26623957558019,32.20747565903738,0.05876391654280866,0.2586637052399261,1.1407470231309698,0.29453961485479546,0.4528036070848377
TF,P02787,Serotransferrin OS=Homo sapiens OX=9606 GN=TF PE=1 SV=5,31.06887607962376,31.03979772978927,0.029078349834488648,0.6490920716079374,0.4574003865219787,0.11810027196989724,0.7839300000541655
APOA4,P06727,Apolipoprotein A-IV OS=Homo sapiens OX=9606 GN=APOA4 PE=1 SV=4,29.758016401956247,29.893510029161064,-0.1354936272048164,0.20272377894517452,-1.2883971463175254,-0.33266271273259573,0.3849093919662253
CFH,P08603,Complement factor H OS=Homo sapiens OX=9606 GN=CFH PE=1 SV=4,29.69923530507623,29.755480287197365,-0.056244982121135934,0.6522868765463733,-0.4529329499093499,-0.1169467847965007,0.7864058667360024
APOA1,P02647,Apolipoprotein A-I OS=Homo sapiens OX=9606 GN=APOA1 PE=1 SV=1,30.92292143767872,30.95635834588406,-0.03343690820533851,0.538264195936988,-0.6191160991881729,-0.1598550894349795,0.7021471951158421
LTBP1,Q14766,Latent-transforming growth factor beta-binding protein 1 OS=Homo sapiens OX=9606 GN=LTBP1 PE=1 SV=4,30.35511894507766,30.43997640214782,-0.08485745707016079,0.11114324728366295,-1.6177474234335485,-0.41770058862187276,0.26071450735068596
Unknown,H0YAC1,Uncharacterized protein (Fragment) OS=Homo sapiens OX=9606 PE=3 SV=1,30.937706820410835,31.033108821930764,-0.09540200151992906,0.07340230213261156,-1.8233663727113836,-0.4707911730363876,0.19807536506700968
GAPDH,P04406,Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3,28.633392068169762,28.712342497310157,-0.07895042914039507,0.3998849956602134,-0.8480706767007241,-0.2189709071512506,0.58495573745337
KRT14,P02533,"Keratin, type I cytoskeletal 14 OS=Homo sapiens OX=9606 GN=KRT14 PE=1 SV=4",31.127992062163973,31.217893913453924,-0.08990185128995165,0.13670312997082623,-1.5090950530584273,-0.38964666722261915,0.29659387540332816
MME,P08473,Neprilysin OS=Homo sapiens OX=9606 GN=MME PE=1 SV=2,29.04679219248801,29.145098355854763,-0.09830616336675391,0.40861485969155686,-0.8323691646074495,-0.21491679416141543,0.5934043529020139
IGHG1,P01857,Immunoglobulin heavy constant gamma 1 OS=Homo sapiens OX=9606 GN=IGHG1 PE=1 SV=2,30.493266393883815,30.344113449844325,0.1491529440394892,0.004195107434234531,2.9808973397893417,0.769664383583874,0.02531365963157427
ACTB,P60709,"Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1",30.48782112468586,30.504527897520177,-0.01670677283431843,0.7999370758035115,-0.25459419217434787,-0.06573593775549198,0.8837030247954187
DPP4,P27487,Dipeptidyl peptidase 4 OS=Homo sapiens OX=9606 GN=DPP4 PE=1 SV=2,28.803300541961182,28.631079598398703,0.17222094356247908,0.20078176832657021,1.2940370024927337,0.33411891733536825,0.3830483316697321
KRT5,P13647,"Keratin, type II cytoskeletal 5 OS=Homo sapiens OX=9606 GN=KRT5 PE=1 SV=3",29.413048029349774,29.157564220620284,0.2554838087294904,0.01229206228677224,2.5844602170867033,0.6673047586474937,0.054091865256431435
C1R,P00736,Complement C1r subcomponent OS=Homo sapiens OX=9606 GN=C1R PE=1 SV=2,29.893595754986983,29.919236579037996,-0.02564082405101331,0.6821166890872832,-0.4116453237483434,-0.10628636556143296,0.8084909863958646
F12,P00748,Coagulation factor XII OS=Homo sapiens OX=9606 GN=F12 PE=1 SV=3,31.13972541881873,31.040244807613423,0.09948061120530838,0.04834929396105165,2.0168428183403035,0.5207465764900018,0.1453215571319911
IGHA1,P01876,Immunoglobulin heavy constant alpha 1 OS=Homo sapiens OX=9606 GN=IGHA1 PE=1 SV=3,29.342132354722143,29.336274800688997,0.005857554033145362,0.9439076266236662,0.07066480444449379,0.018245574051768552,0.9712772588768844
HPR,P00739,Haptoglobin-related protein OS=Homo sapiens OX=9606 GN=HPR PE=1 SV=2,28.965404279826984,28.979519305756902,-0.01411502592991809,0.9268777065537412,-0.09217364963276715,-0.023799133999124304,0.9625268491135006
ITIH4,Q14624,Inter-alpha-trypsin inhibitor heavy chain H4 OS=Homo sapiens OX=9606 GN=ITIH4 PE=1 SV=4,30.45300032857433,30.5135012630272,-0.060500934452871746,0.3265477747891705,-0.989460715833051,-0.255477658276525,0.5196709343048438
CAVIN2,O95810,Caveolae-associated protein 2 OS=Homo sapiens OX=9606 GN=CAVIN2 PE=1 SV=3,29.639480828646537,29.599909786517802,0.039571042128734746,0.7235553805311208,0.35543199860543906,0.0917721474205389,0.8401047530510753
CAMP,P49913,Cathelicidin antimicrobial peptide OS=Homo sapiens OX=9606 GN=CAMP PE=1 SV=1,30.29616148781215,30.21298967700962,0.08317181080252922,0.2625861350882541,1.1312970313704451,0.2920996374741082,0.4551683495055373
RAP1B,P61224,Ras-related protein Rap-1b OS=Homo sapiens OX=9606 GN=RAP1B PE=1 SV=1,28.717251855434487,28.683628617084526,0.033623238349960616,0.45812998094190815,0.7469185549260599,0.19285354161346263,0.6382932921354553
GC,P02774,Vitamin D-binding protein OS=Homo sapiens OX=9606 GN=GC PE=1 SV=2,30.59064736417753,30.659752645523945,-0.06910528134641325,0.4041258823500973,-0.8404170214743394,-0.21699474186929052,0.5889959108725571
HRNR,Q86YZ3,Hornerin OS=Homo sapiens OX=9606 GN=HRNR PE=1 SV=2,28.80499323899392,28.74465048589219,0.060342753101728874,0.7969340743474826,0.25850276120347065,0.06674512593931163,0.881247905812637
CP,P00450,Ceruloplasmin OS=Homo sapiens OX=9606 GN=CP PE=1 SV=2,26.94104465023647,26.6172168167117,0.3238278335247706,0.07800158809221724,1.7941509929373818,0.4632477944151987,0.20470597995206272
IGHM,P01871,Immunoglobulin heavy constant mu OS=Homo sapiens OX=9606 GN=IGHM PE=1 SV=5,31.67680788656213,31.816431898639518,-0.1396240120773875,0.003640963922336499,-3.0307926195890698,-0.7825472894317879,0.02274531579718448
Unknown,B4E1Z4,Complement C2 OS=Homo sapiens OX=9606 PE=1 SV=1,30.28139151593697,30.263906328570975,0.01748518736599536,0.7001959864085027,0.3869682007535311,0.09991475980201829,0.8225753734135286
APOH,P02749,Beta-2-glycoprotein 1 OS=Homo sapiens OX=9606 GN=APOH PE=1 SV=3,28.951606115950838,28.954680001882505,-0.0030738859316663536,0.9641451536275694,-0.04514708621818006,-0.011656927536853452,0.9820225254019935
BASP1,P80723,Brain acid soluble protein 1 OS=Homo sapiens OX=9606 GN=BASP1 PE=1 SV=2,26.297654067159506,26.170238844870013,0.12741522228949265,0.4204933253922265,0.8113299034773525,0.20948448029652378,0.60183815575006
HABP2,Q14520,Hyaluronan-binding protein 2 OS=Homo sapiens OX=9606 GN=HABP2 PE=1 SV=1,29.99161636817605,30.24131468295969,-0.24969831478363957,0.03416052189275045,-2.1694363278953386,-0.5601460512397347,0.11480529825981323
Unknown,A0A8I5KW61,C-X-C motif chemokine OS=Homo sapiens OX=9606 PE=1 SV=1,29.92468534325023,30.151544518241394,-0.2268591749911657,0.09870154584985005,-1.6781363458749021,-0.43329294134925767,0.24115270328038518
TFPI,P10646,Tissue factor pathway inhibitor OS=Homo sapiens OX=9606 GN=TFPI PE=1 SV=1,29.732362335459836,29.62189699366694,0.1104653417928958,0.08994108888025666,1.7245147696499898,0.4452677988762087,0.22670277624406468
SAA2-SAA4,A0A096LPE2,SAA2-SAA4 readthrough OS=Homo sapiens OX=9606 GN=SAA2-SAA4 PE=3 SV=1,31.580815367728892,31.397482166804423,0.18333320092446925,0.026324147057179493,2.2796477733269063,0.5886025240875953,0.09402226778786714
SERPINA1,P01009,Alpha-1-antitrypsin OS=Homo sapiens OX=9606 GN=SERPINA1 PE=1 SV=3,27.469620921070497,27.1265629019407,0.3430580191297956,0.0769563055009987,1.800661634725258,0.46492883489636977,0.2033024787115936
CLU,P10909,Clusterin OS=Homo sapiens OX=9606 GN=CLU PE=1 SV=1,27.707276443133335,27.687771444669078,0.019504998464256573,0.8489460561192317,0.1913161779261256,0.04939762473119596,0.9162405605677073
EHD1,A0A024R571,EH domain containing 1 OS=Homo sapiens OX=9606 GN=EHD1 PE=1 SV=1,22.905900518700822,22.979358800304848,-0.0734582816040259,0.5439369383095135,-0.6104675186781352,-0.15762203554939885,0.7061870763871678
EHD1,Q9H4M9,EH domain-containing protein 1 OS=Homo sapiens OX=9606 GN=EHD1 PE=1 SV=2,29.705185759779727,29.782212527219105,-0.07702676743937786,0.4266672542321466,-0.8005361698763943,-0.2066975502645298,0.6090330967668544
IGFBP3,P17936,Insulin-like growth factor-binding protein 3 OS=Homo sapiens OX=9606 GN=IGFBP3 PE=1 SV=2,30.222259352453346,30.115288395550625,0.10697095690272107,0.43772918787084536,0.781427688081325,0.20176376148028902,0.619824530025117
FYB1,O15117,FYN-binding protein 1 OS=Homo sapiens OX=9606 GN=FYB1 PE=1 SV=2,28.454892431959895,28.140920167315393,0.31397226464450156,4.618443330746001e-06,5.054037408433526,1.304946847598156,9.680500297208396e-05
SERPING1,P05155,Plasma protease C1 inhibitor OS=Homo sapiens OX=9606 GN=SERPING1 PE=1 SV=2,30.48398733500521,30.27388913459134,0.21009820041387073,0.017053170508451548,2.4562903691054254,0.6342114461996655,0.0677448893265918
SERPING1,E9PGN7,Serpin family G member 1 OS=Homo sapiens OX=9606 GN=SERPING1 PE=1 SV=1,17.551351749676215,17.667295060208694,-0.11594331053247942,0.7283766799161695,-0.348968498492285,-0.09010327886744185,0.8420405905164117
CSRP1,P21291,Cysteine and glycine-rich protein 1 OS=Homo sapiens OX=9606 GN=CSRP1 PE=1 SV=3,27.959799383430877,27.751843097587223,0.2079562858436539,0.05194651124874952,1.9844239430032657,0.5123760588711269,0.15381188182018213
MARCKS,P29966,Myristoylated alanine-rich C-kinase substrate OS=Homo sapiens OX=9606 GN=MARCKS PE=1 SV=4,30.526864732154767,30.68730098941346,-0.16043625725869148,0.06785722840495871,-1.8607071028913298,-0.4804325081111981,0.18669527607789158
FHL1,Q5JXI8,Four and a half LIM domains 1 (Fragment) OS=Homo sapiens OX=9606 GN=FHL1 PE=1 SV=1,29.462230802538112,29.33489005238846,0.12734075014965285,0.020056360797361207,2.3912396683987045,0.6174154274999153,0.07625246479760478
IGHG3,A0A9H3ZR93,Immunoglobulin heavy constant gamma 3 (G3m marker) (Fragment) OS=Homo sapiens OX=9606 GN=IGHG3 PE=1 SV=1,29.920369167508927,29.916288585315375,0.004080582193552118,0.9408495246532663,0.07452445582517274,0.019242131753070955,0.9712772588768844
BIN2,Q9UBW5,Bridging integrator 2 OS=Homo sapiens OX=9606 GN=BIN2 PE=1 SV=3,28.414192286792385,28.18179989124749,0.23239239554489544,0.007978113222338051,2.747976142695905,0.7095243890957691,0.0400424501460651
EEF1A1,P68104,Elongation factor 1-alpha 1 OS=Homo sapiens OX=9606 GN=EEF1A1 PE=1 SV=1,29.31737709586895,29.323412939206214,-0.0060358433372655895,0.9436075898071365,-0.07104343464332039,-0.018343335948730326,0.9712772588768844
PON1,P27169,Serum paraoxonase/arylesterase 1 OS=Homo sapiens OX=9606 GN=PON1 PE=1 SV=3,28.847971927013273,28.968387464866012,-0.12041553785273962,0.11355394497369634,-1.6066881067347365,-0.41484508532887726,0.2621614990479685
MAPRE2,Q15555,Microtubule-associated protein RP/EB family member 2 OS=Homo sapiens OX=9606 GN=MAPRE2 PE=1 SV=1,28.510984405938185,28.336222046824467,0.17476235911371774,0.11136009671849625,1.61674470277094,0.4174416872600607,0.26071450735068596
C8B,A0A8Q3WL56,Complement component C8 beta chain OS=Homo sapiens OX=9606 GN=C8B PE=1 SV=1,30.17415138799367,30.42081585438122,-0.2466644663875499,0.0028614766538484935,-3.1145655561790844,-0.804177368650189,0.019087724049681086
CLEC3B,P05452,Tetranectin OS=Homo sapiens OX=9606 GN=CLEC3B PE=1 SV=3,30.424946898199845,30.4407067479698,-0.01575984976995315,0.8479744561185378,-0.19256228262348904,-0.04971936758056393,0.9158124126080208
APOA5,Q6Q788,Apolipoprotein A-V OS=Homo sapiens OX=9606 GN=APOA5 PE=1 SV=1,30.486616046998776,30.59495208964394,-0.10833604264516339,0.7058291207945857,-0.37932862442857906,-0.09794222967677696,0.827182522171031
C4BPA,P04003,C4b-binding protein alpha chain OS=Homo sapiens OX=9606 GN=C4BPA PE=1 SV=2,28.296451195621312,28.176753222517974,0.11969797310333874,0.0805070132115507,1.7788373406480469,0.45929382639611827,0.2085328000747972
ITIH2,P19823,Inter-alpha-trypsin inhibitor heavy chain H2 OS=Homo sapiens OX=9606 GN=ITIH2 PE=1 SV=2,28.56241773860933,28.285500466866253,0.276917271743077,1.792882354819726e-07,5.927710670545273,1.5305283138771892,6.491049070972326e-06
HP,P00738,Haptoglobin OS=Homo sapiens OX=9606 GN=HP PE=1 SV=1,28.403438719428006,28.3450901398481,0.05834857957990636,0.4197167617017258,0.8126942818609183,0.20983676128035555,0.6012669077255838
PRG4,Q92954,Proteoglycan 4 OS=Homo sapiens OX=9606 GN=PRG4 PE=1 SV=3,30.023592378865935,29.981709358943597,0.041883019922337894,0.5990088289787546,0.5287322128436779,0.13651807032979732,0.7472365423360658
DSP,P15924,Desmoplakin OS=Homo sapiens OX=9606 GN=DSP PE=1 SV=3,28.250963905592542,28.072973640721994,0.17799026487054803,0.0652241234676303,1.879347303111547,0.48524538711272297,0.18164690329359282
IGKC,P01834,Immunoglobulin kappa constant OS=Homo sapiens OX=9606 GN=IGKC PE=1 SV=2,29.84494494401231,30.007771580681023,-0.162826636668715,0.05707567909753967,-1.9413808835606952,-0.5012623887117341,0.16471296522170414
PDIA5,Q14554,Protein disulfide-isomerase A5 OS=Homo sapiens OX=9606 GN=PDIA5 PE=1 SV=1,29.116089233703846,29.069102243914692,0.046986989789154165,0.4815171327914749,0.7084279892866358,0.18291532029962312,0.6601177216323748
APOA2,V9GYM3,Apolipoprotein A-II OS=Homo sapiens OX=9606 GN=APOA2 PE=1 SV=1,30.731115140471573,30.875112639035002,-0.14399749856342936,0.14180543802588713,-1.4893794336143436,-0.3845561161714792,0.30240436783833763
F11,P03951,Coagulation factor XI OS=Homo sapiens OX=9606 GN=F11 PE=1 SV=1,29.742267165354324,29.531608989788026,0.21065817556629796,0.0018082659996084308,3.2707167853845793,0.8444954426637024,0.013222198849527926
WAS,P42768,Actin nucleation-promoting factor WAS OS=Homo sapiens OX=9606 GN=WAS PE=1 SV=4,27.234542091590374,27.36985257021767,-0.1353104786272965,0.7773560121324822,-0.2840862666810576,-0.073350758649465,0.8733511532866813
YARS1,P54577,"Tyrosine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=YARS1 PE=1 SV=4",28.366514831710024,28.475201537494755,-0.10868670578473072,0.2650989841238739,-1.1252954963884176,-0.29055004780497,0.4560504122131006
IQGAP2,Q13576,Ras GTPase-activating-like protein IQGAP2 OS=Homo sapiens OX=9606 GN=IQGAP2 PE=1 SV=4,31.086776068072595,31.208464009962697,-0.12168794189010157,0.07160191230356677,-1.8352220812931135,-0.4738523038293561,0.1946447889071363
