Gene,Accession,Description,Log2FC,P_value,FDR,Cohens_d
ITGA1,P56199,Integrin alpha-1 OS=Homo sapiens OX=9606 GN=ITGA1 PE=1 SV=2,1.3881482008871835,8.345120343922191e-05,0.0030915759785739654,1.092755035790015
NAA10,P41227,N-alpha-acetyltransferase 10 OS=Homo sapiens OX=9606 GN=NAA10 PE=1 SV=1,1.219851592209725,0.00040968333147726435,0.01087709245072137,0.9683471492085853
MTARC2,Q969Z3,Mitochondrial amidoxime reducing component 2 OS=Homo sapiens OX=9606 GN=MTARC2 PE=1 SV=1,2.284906948716282,3.63344888059293e-05,0.0015231800175748785,1.1552592620856483
HMOX1,P09601,Heme oxygenase 1 OS=Homo sapiens OX=9606 GN=HMOX1 PE=1 SV=1,0.8092777742341575,2.1834270248466201e-10,1.83063118451614e-08,1.9806582786322944
KRT13,K7EMD9,Keratin 13 (Fragment) OS=Homo sapiens OX=9606 GN=KRT13 PE=1 SV=1,-2.466826748023628,9.44720412548677e-15,1.5049396171900426e-12,-2.6652627796794626
UBC,F5H2Z3,Ubiquitin C (Fragment) OS=Homo sapiens OX=9606 GN=UBC PE=1 SV=1,-1.0222491000311464,0.00020047457017666567,0.006261882162577027,-1.0251129893115778
KRT86,O43790,"Keratin, type II cuticular Hb6 OS=Homo sapiens OX=9606 GN=KRT86 PE=1 SV=1",1.40632800381999,0.00011340063340851527,0.003927113239560105,1.0693099633003613
PCSK9,A0AA34QVH0,Proprotein convertase subtilisin/kexin type 9 OS=Homo sapiens OX=9606 GN=PCSK9 PE=1 SV=1,-1.7944538405184574,6.067258587468047e-07,3.86605717193464e-05,-1.4469454466058669
RHOF,Q9HBH0,Rho-related GTP-binding protein RhoF OS=Homo sapiens OX=9606 GN=RHOF PE=1 SV=1,2.541806471191485,2.4084929933823675e-19,6.394548897430186e-17,3.4484992538342034
YWHAH,Q04917,14-3-3 protein eta OS=Homo sapiens OX=9606 GN=YWHAH PE=1 SV=4,0.8634495164560292,1.4995815441778701e-06,8.531547856697669e-05,1.3841517420271223
PSME1,Q06323,Proteasome activator complex subunit 1 OS=Homo sapiens OX=9606 GN=PSME1 PE=1 SV=1,-1.1593809125122796,6.953430374880184e-11,6.515773286578901e-09,-2.0571017336419746
S100A14,Q9HCY8,Protein S100-A14 OS=Homo sapiens OX=9606 GN=S100A14 PE=1 SV=1,-1.9517673054338864,2.0564136711834942e-21,8.189667445488265e-19,-3.832823151514195
LANCL1,O43813,Glutathione S-transferase LANCL1 OS=Homo sapiens OX=9606 GN=LANCL1 PE=1 SV=1,-1.6491151382768727,3.168910657637459e-06,0.00015775233367551475,-1.3316278492127425
PARP1,P09874,Poly [ADP-ribose] polymerase 1 OS=Homo sapiens OX=9606 GN=PARP1 PE=1 SV=4,-1.9749482908901896,2.126878850766449e-08,1.6133895282242634e-06,-1.6746979728066245
CRABP2,P29373,Cellular retinoic acid-binding protein 2 OS=Homo sapiens OX=9606 GN=CRABP2 PE=1 SV=2,2.1289753730246446,3.593668214004542e-12,4.403625742237873e-10,2.2562133057450384
NUCKS1,Q9H1E3,Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1 OS=Homo sapiens OX=9606 GN=NUCKS1 PE=1 SV=1,-4.505654009396572,5.090859496470918e-25,2.7032463926260574e-22,-4.562588413081802
SIPA1L2,A0A6Q8PFQ0,Signal induced proliferation associated 1 like 2 OS=Homo sapiens OX=9606 GN=SIPA1L2 PE=1 SV=1,1.5461479878371698,4.627152209019101e-12,5.265038192119591e-10,2.2391334461581827
MGAM,O43451,Maltase-glucoamylase OS=Homo sapiens OX=9606 GN=MGAM PE=1 SV=6,-2.7743897237604465,9.202093446235592e-14,1.2215779049877749e-11,-2.506579219338965
